strike,call_gex,put_gex,net_gex
26.0,0.0,0.007935283982545817,-0.007935283982545817
27.0,0.0,0.11549356373577248,-0.11549356373577248
28.0,0.0,34.23932529347091,-34.23932529347091
29.0,0.0,476.6415577784242,-476.6415577784242
30.0,269.84360473899477,11603.275003776775,-11333.43139903778
31.0,0.0,11386.140506117965,-11386.140506117965
32.0,0.0,20260.87064403891,-20260.87064403891
33.0,0.0,26116.796581289826,-26116.796581289826
34.0,991.1146255750235,12884.490132475305,-11893.375506900282
35.0,1219.104442168648,914.3283316264858,304.7761105421621
36.0,369.38195878111384,227.31197463453157,142.06998414658227
37.0,70.34407064446808,33.49717649736575,36.846894147102326
38.0,2.8520539575004307,5.4448302825008215,-2.592776325000391
