strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
16.5,80318.68800000001,110432.544,850993.38,-97178.604,0.2792142358688067,-30113.855999999985
17.0,744662.304,3145017.72,5565160.788,-2281550.3759999997,0.08516041239128312,-2400355.416
17.5,319818.42,178527.84,2271263.736,-97969.88399999999,0.564913320274241,141290.58
18.0,8042935.416000001,2767315.284,27641867.136000004,-2137744.656,0.5290870007035098,5275620.132000001
18.5,12631225.247999998,4181070.768,20055259.128,-2107201.248,0.49271114559089735,8450154.479999997
19.0,43142486.555999994,1417789.128,62680777.96799999,-1609075.4160000002,0.45032824416876205,41724697.427999996
19.5,3574419.0,108652.16399999999,2613942.6119999997,-213055.90799999997,0.23098713068696755,3465766.836
20.0,12211095.132000001,111216.28800000002,9896710.404,-556627.8,0.16902765086941698,12099878.844
20.5,109356.78,0.0,89392.032,0.0,0.11460869565217391,109356.78
21.0,523064.33999999997,0.0,403253.24400000006,-13188.0,0.0775144140771247,523064.33999999997
21.5,2733.684,0.0,3768.0,-1884.0,0.06666666666666667,2733.684
