strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
13.5,6243979.457,3769518.7879999997,61229377.79929999,-6356380.680399999,0.46986188680764274,2474460.6690000007
14.0,15338504.7541,13802959.4585,114515818.44479997,-29962022.6657,0.2990397265588198,1535545.2956000008
14.5,3174580.599,2784154.2438999997,15519438.2524,-4639147.219299999,0.2868457944311328,390426.3551000003
15.0,33442681.143799994,11119696.979700001,159609970.55429998,-12567127.358099999,0.49837041447144803,22322984.16409999
15.5,5035429.6101,8779997.9973,11999436.1651,-13411184.3865,-0.027001264760534664,-3744568.3872000007
16.0,28544371.0852,9632153.2817,77968567.2847,-18401129.627800003,0.3066658118072251,18912217.8035
16.5,4299573.9317,662285.9686,10476301.6662,-2161367.801,0.2792335736462664,3637287.9630999994
17.0,19043518.6139,416730.80059999996,49447981.5358,-2244447.0069999998,0.32072897084815055,18626787.8133
17.5,4305746.658100001,332529.4659,4321090.0953,-2092794.6273999999,0.06181055811527428,3973217.1922000004
