strike,gamma,oi,underlying,GEX
602,0.001,39,680.645,2654.5155
602,0.0,7556,680.645,0.0
603,0.001,21,680.645,1429.3545
603,0.0,1554,680.645,0.0
604,0.0,1570,680.645,0.0
604,0.001,6,680.645,408.387
605,0.001,4464,680.645,303839.928
605,0.0,27325,680.645,0.0
606,0.001,8,680.645,544.516
606,0.0,6100,680.645,0.0
607,0.0,6496,680.645,0.0
607,0.001,118,680.645,8031.611
608,0.0,1448,680.645,0.0
608,0.001,54,680.645,3675.483
609,0.0,4154,680.645,0.0
609,0.001,17,680.645,1157.0965
610,0.002,4851,680.645,660361.779
610,0.0,53880,680.645,0.0
611,0.0,2290,680.645,0.0
611,0.002,11,680.645,1497.4189999999999
612,0.002,100,680.645,13612.9
612,0.0,2812,680.645,0.0
613,0.0,2276,680.645,0.0
613,0.002,5,680.645,680.645
614,0.002,6,680.645,816.774
614,0.0,2631,680.645,0.0
615,0.0,22422,680.645,0.0
615,0.002,7428,680.645,1011166.2119999999
616,0.002,53,680.645,7214.8369999999995
616,0.0,4405,680.645,0.0
617,0.0,6217,680.645,0.0
617,0.002,35,680.645,4764.515
618,0.002,32,680.645,4356.128
618,0.0,3725,680.645,0.0
619,0.0,4575,680.645,0.0
619,0.002,15,680.645,2041.935
620,0.002,11083,680.645,1508717.707
620,0.0,76988,680.645,0.0
621,0.0,2361,680.645,0.0
621,0.002,13,680.645,1769.677
622,0.002,66,680.645,8984.514000000001
622,0.0,1663,680.645,0.0
623,0.0,5218,680.645,0.0
623,0.002,2,680.645,272.258
624,0.002,15,680.645,2041.935
624,0.0,3876,680.645,0.0
625,0.0,60715,680.645,0.0
625,0.002,19293,680.645,2626336.797
626,0.002,4,680.645,544.516
626,0.0,6031,680.645,0.0
627,0.0,17235,680.645,0.0
627,0.002,64,680.645,8712.256
628,0.002,91,680.645,12387.739
628,0.0,34672,680.645,0.0
629,0.0,2896,680.645,0.0
629,0.002,10,680.645,1361.29
630,0.003,17917,680.645,3658534.9394999994
630,0.001,82104,680.645,5588367.708
631,0.001,18286,680.645,1244627.4470000002
631,0.003,39,680.645,7963.5465
632,0.003,27,680.645,5513.224499999999
632,0.001,34989,680.645,2381508.7904999997
633,0.003,8,680.645,1633.548
633,0.001,2755,680.645,187517.6975
634,0.001,14797,680.645,1007150.4065
634,0.003,12,680.645,2450.322
635,0.003,10586,680.645,2161592.391
635,0.001,26463,680.645,1801190.8635
636,0.001,15971,680.645,1087058.1294999998
636,0.003,26,680.645,5309.031
637,0.003,10,680.645,2041.935
637,0.001,6853,680.645,466446.01849999995
638,0.001,7274,680.645,495101.17299999995
638,0.004,152,680.645,41383.216
639,0.004,46,680.645,12523.867999999999
639,0.001,13201,680.645,898519.4645000001
640,0.001,52058,680.645,3543301.741
640,0.004,12434,680.645,3385255.972
641,0.001,18935,680.645,1288801.3074999999
641,0.004,77,680.645,20963.865999999998
642,0.004,153,680.645,41655.473999999995
642,0.002,18145,680.645,2470060.705
643,0.004,133,680.645,36210.314
644,0.004,54,680.645,14701.932
645,0.005,10904,680.645,3710876.54
646,0.005,160,680.645,54451.6
647,0.005,433,680.645,147359.6425
648,0.005,139,680.645,47304.8275
649,0.006,167,680.645,68200.629
650,0.006,20239,680.645,8265344.493
651,0.006,124,680.645,50639.988000000005
652,0.009,3171,680.645,1942492.7654999997
653,0.009,442,680.645,270760.58099999995
654,0.01,401,680.645,272938.645
655,0.01,12982,680.645,8836133.39
656,0.011,765,680.645,572762.7675
657,0.012,4234,680.645,3458221.116
658,0.012,758,680.645,619114.692
659,0.013,2947,680.645,2607619.0595
660,0.009,28672,680.645,17563908.096
661,0.0,3495,680.645,0.0
662,0.0,2118,680.645,0.0
663,0.0,2621,680.645,0.0
664,0.0,1785,680.645,0.0
665,0.022,21872,680.645,32751548.367999997
666,0.024,2866,680.645,4681748.568
667,0.025,2130,680.645,3624434.625
668,0.031,2800,680.645,5907998.6
669,0.035,2942,680.645,7008601.565000001
670,0.0,28561,680.645,0.0
671,0.0,2551,680.645,0.0
672,0.057,4660,680.645,18079292.49
673,0.084,4935,680.645,28215457.83
674,0.096,6170,680.645,40315964.64
675,0.099,19413,680.645,130812277.7115
676,0.098,5364,680.645,35779601.844000004
677,0.092,7186,680.645,44998257.724
678,0.082,9720,680.645,54250129.080000006
679,0.07,7374,680.645,35133533.61000001
680,0.057,73542,680.645,285319169.163
681,0.044,15878,680.645,47552037.764
682,0.033,14143,680.645,31766995.3755
683,0.023,11852,680.645,18554110.441999998
684,0.017,11251,680.645,13018492.7215
685,0.012,48308,680.645,39456718.392000005
686,0.009,11283,680.645,6911745.781499999
687,0.006,10547,680.645,4307257.689
688,0.005,10492,680.645,3570663.67
689,0.003,8986,680.645,1834882.791
690,0.003,66729,680.645,13625628.0615
691,0.003,7080,680.645,1445689.98
692,0.002,8008,680.645,1090121.0320000001
693,0.002,6856,680.645,933300.424
694,0.002,5167,680.645,703378.5429999998
695,0.002,25668,680.645,3494159.1719999993
696,0.002,4764,680.645,648518.556
697,0.002,4113,680.645,559898.577
698,0.001,8223,680.645,559694.3835
699,0.0,5089,680.645,0.0
700,0.0,95258,680.645,0.0
701,0.0,4355,680.645,0.0
702,0.0,4407,680.645,0.0
703,0.0,4410,680.645,0.0
704,0.0,3805,680.645,0.0
705,0.0,16737,680.645,0.0
706,0.0,5163,680.645,0.0
707,0.0,17466,680.645,0.0
708,0.0,4868,680.645,0.0
709,0.0,4280,680.645,0.0
710,0.0,50061,680.645,0.0
711,0.0,2995,680.645,0.0
712,0.0,2334,680.645,0.0
713,0.0,1507,680.645,0.0
714,0.0,3434,680.645,0.0
715,0.0,11730,680.645,0.0
716,0.0,936,680.645,0.0
717,0.0,3575,680.645,0.0
718,0.0,1424,680.645,0.0
719,0.0,1560,680.645,0.0
720,0.0,12612,680.645,0.0
725,0.0,8321,680.645,0.0
730,0.0,10713,680.645,0.0
735,0.0,10008,680.645,0.0
740,0.0,25995,680.645,0.0
745,0.0,8601,680.645,0.0
750,0.0,14211,680.645,0.0
755,0.0,4342,680.645,0.0
760,0.0,5238,680.645,0.0
765,0.0,5439,680.645,0.0
770,0.0,3022,680.645,0.0
775,0.0,3071,680.645,0.0
780,0.0,17162,680.645,0.0
785,0.0,15920,680.645,0.0
790,0.0,16520,680.645,0.0
795,0.0,4108,680.645,0.0
800,0.0,8550,680.645,0.0
805,0.0,9979,680.645,0.0
810,0.0,10272,680.645,0.0
815,0.0,5527,680.645,0.0
820,0.0,17693,680.645,0.0
825,0.0,17836,680.645,0.0
830,0.0,15030,680.645,0.0
835,0.0,13354,680.645,0.0
840,0.0,45550,680.645,0.0
845,0.0,7261,680.645,0.0
850,0.0,10939,680.645,0.0
855,0.0,5036,680.645,0.0
865,0.0,4128,680.645,0.0
870,0.0,16160,680.645,0.0
875,0.0,30,680.645,0.0
880,0.0,35,680.645,0.0
890,0.0,1,680.645,0.0
900,0.0,3895,680.645,0.0
