strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
16.5,13953.887,19089.877,151459.75300000003,-23068.025,0.3055490909090909,-5135.99
17.0,651686.6520000001,1183317.3890000002,5593977.44,-882878.782,0.22726838662121077,-531630.7370000001
17.5,14276.104000000001,106926.766,83743.95000000001,-66056.777,0.01515597381342062,-92650.662
18.0,2932787.619,2888900.785,11318107.437,-1480682.4240000003,0.3282863343744025,43886.8339999998
18.5,1127276.4610000001,1507462.1520000002,2495953.2380000004,-665276.684,0.24588748075936379,-380185.6910000001
19.0,19815948.793,26146782.841000002,22750280.265,-14648348.484000001,0.10773770953977446,-6330834.048
19.5,18990906.148000002,429130.014,7229072.286,-3871660.152,0.07998395595395187,18561776.134000003
20.0,26439977.964,193043.50900000002,15668638.587000001,-3641736.262,0.10596582972922942,26246934.455000002
20.5,962819.349,4310.488,569724.9230000001,-69697.42800000001,0.07577264833574529,958508.861
21.0,7462426.9180000005,12712.578000000003,5316671.034000001,-98176.86500000002,0.07359053788348104,7449714.340000001
21.5,32041.205000000005,9057.029,26071.309,-69375.21100000001,-0.07899721254355399,22984.176000000007
