strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
16.5,0.0,32076.600000000002,3860.0,-38393.49,-0.03332029795158287,-32076.600000000002
17.0,618229.18,1835410.7,11000596.629999999,-3059229.49,0.14113181272509004,-1217181.52
17.5,0.0,152736.34000000003,102290.0,-112825.87000000002,-0.0022764804003336126,-152736.34000000003
18.0,946344.6200000001,3959750.1199999996,10392907.180000002,-9486297.4,0.013328018158604066,-3013405.4999999995
18.5,43876.62,502805.52999999997,401032.76999999996,-446795.00000000006,-0.007817672271678216,-458928.91
19.0,1262625.3,13906647.81,7994799.19,-22664972.37,-0.12422170289262952,-12644022.51
19.5,298242.89999999997,2072534.36,1115256.29,-2094766.0299999998,-0.0849260374832664,-1774291.4600000002
20.0,6330604.58,18378571.68,26449075.12,-36969703.910000004,-0.07359691900576505,-12047967.1
20.5,2014142.21,6029375.970000002,3052837.33,-7517747.579999999,-0.2073704732879168,-4015233.7600000016
21.0,8164544.62,16806411.05,17834051.13,-45060234.95999999,-0.2290664945440374,-8641866.43
21.5,4460376.680000001,2149942.8,4194503.74,-7344283.04,-0.11541796322489392,2310433.880000001
22.0,10535084.49,11056265.55,19581110.290000003,-60888705.36,-0.26053754762687314,-521181.0600000005
