strike,call_gex,put_gex,net_gex,abs_net_gex,GSI
174.78,0.0,0.0,0.0,0.0,0.0
179.78,0.0,0.0,0.0,0.0,0.0
184.78,0.0,0.0,0.0,0.0,0.0
189.78,0.0,0.0,0.0,0.0,0.0
194.78,0.0,0.0,0.0,0.0,0.0
199.78,0.0,0.0,0.0,0.0,0.0
204.78,0.0,0.0,0.0,0.0,0.0
209.78,0.0,0.0,0.0,0.0,0.0
214.78,0.0,0.0,0.0,0.0,0.0
219.78,0.0,0.0,0.0,0.0,0.0
224.78,0.0,0.0,0.0,0.0,0.0
229.78,0.0,0.0,0.0,0.0,0.0
234.78,0.0,0.0,0.0,0.0,0.0
239.78,0.0,0.0,0.0,0.0,0.0
244.78,0.0,0.0,0.0,0.0,0.0
249.78,0.0,0.0,0.0,0.0,0.0
254.78,0.0,0.0,0.0,0.0,0.0
259.78,0.0,0.0,0.0,0.0,0.0
264.78,0.0,0.0,0.0,0.0,0.0
269.78,0.0,0.0,0.0,0.0,0.0
274.78,0.0,0.0,0.0,0.0,0.0
279.78,0.0,0.0,0.0,0.0,0.0
284.78,0.0,0.0,0.0,0.0,0.0
289.78,0.0,0.0,0.0,0.0,0.0
294.78,0.0,0.0,0.0,0.0,0.0
299.78,0.0,0.0,0.0,0.0,0.0
304.78,0.0,0.0,0.0,0.0,0.0
309.78,0.0,0.0,0.0,0.0,0.0
314.78,0.0,0.0,0.0,0.0,0.0
319.78,0.0,0.0,0.0,0.0,0.0
324.78,0.0,0.0,0.0,0.0,0.0
329.78,0.0,0.0,0.0,0.0,0.0
334.78,0.0,0.0,0.0,0.0,0.0
339.78,0.0,0.0,0.0,0.0,0.0
344.78,0.0,0.0,0.0,0.0,0.0
349.78,0.0,0.0,0.0,0.0,0.0
354.78,0.0,0.0,0.0,0.0,0.0
359.78,0.0,0.0,0.0,0.0,0.0
364.78,0.0,0.0,0.0,0.0,0.0
369.78,0.0,0.0,0.0,0.0,0.0
370.0,0.0,0.0,0.0,0.0,0.0
374.78,0.0,0.0,0.0,0.0,0.0
379.78,0.0,0.0,0.0,0.0,0.0
380.0,0.0,0.0,0.0,0.0,0.0
384.78,0.0,0.0,0.0,0.0,0.0
389.78,0.0,0.0,0.0,0.0,0.0
390.0,0.0,0.0,0.0,0.0,0.0
394.78,0.0,0.0,0.0,0.0,0.0
399.78,0.0,0.0,0.0,0.0,0.0
400.0,0.0,0.0,0.0,0.0,0.0
404.78,0.0,0.0,0.0,0.0,0.0
409.78,0.0,0.0,0.0,0.0,0.0
410.0,0.0,0.0,0.0,0.0,0.0
414.78,0.0,0.0,0.0,0.0,0.0
419.78,0.0,0.0,0.0,0.0,0.0
420.0,0.0,0.0,0.0,0.0,0.0
424.78,0.0,0.0,0.0,0.0,0.0
429.78,0.0,0.0,0.0,0.0,0.0
430.0,0.0,0.0,0.0,0.0,0.0
434.78,0.0,0.0,0.0,0.0,0.0
439.78,0.0,0.0,0.0,0.0,0.0
440.0,0.0,0.0,0.0,0.0,0.0
444.78,0.0,0.0,0.0,0.0,0.0
449.78,0.0,0.0,0.0,0.0,0.0
450.0,0.0,0.0,0.0,0.0,0.0
454.78,0.0,0.0,0.0,0.0,0.0
459.78,0.0,0.0,0.0,0.0,0.0
460.0,0.0,0.0,0.0,0.0,0.0
464.78,0.0,0.0,0.0,0.0,0.0
469.78,34261.731,0.0,34261.731,34261.731,1.0
470.0,0.0,0.0,0.0,0.0,0.0
474.78,49558.257,0.0,49558.257,49558.257,1.0
479.78,44583.776999999995,0.0,44583.776999999995,44583.776999999995,1.0
480.0,389750.5079999999,0.0,389750.5079999999,389750.5079999999,1.0
484.78,51858.95399999999,0.0,51858.95399999999,51858.95399999999,1.0
489.78,19151.748,0.0,19151.748,19151.748,1.0
490.0,197238.13199999998,0.0,197238.13199999998,197238.13199999998,1.0
494.78,77353.16399999999,0.0,77353.16399999999,77353.16399999999,1.0
499.78,33888.645000000004,0.0,33888.645000000004,33888.645000000004,1.0
500.0,324584.81999999995,0.0,324584.81999999995,324584.81999999995,1.0
504.78,163225.125,0.0,163225.125,163225.125,1.0
509.78,24934.581,216949.50899999996,-192014.92799999996,192014.92799999996,0.10308483290488432
510.0,60253.38899999999,1244614.896,-1184361.507,1184361.507,0.04617583988563259
514.78,45516.492,519149.16899999994,-473632.6769999999,473632.6769999999,0.08060786257020153
519.78,18032.489999999998,117708.633,-99676.14300000001,99676.14300000001,0.13284470911589555
520.0,192077.10899999997,660610.944,-468533.8350000001,468533.8350000001,0.2252607015241012
524.78,164530.92599999998,403057.24199999997,-238526.316,238526.316,0.2898773006134969
529.78,159556.44599999997,159494.26499999998,62.180999999982305,62.180999999982305,0.5000974468914441
530.0,1248345.756,1886758.0829999999,-638412.3269999998,638412.3269999998,0.3981832245780361
