strike,call_gex,put_gex,net_gex
25.0,9.350461849384434e-19,1.3817242987625408e-18,-4.466781138240974e-19
26.0,7.0818382418853956e-12,1.7881641560760623e-10,-1.7173457736572083e-10
27.0,3.3744228549286004e-05,0.0001898112855897338,-0.0001560670570404478
28.0,0.9269157812060981,29.528888458422845,-28.601972677216747
29.0,4314.954657052501,28850.971334409856,-24536.016677357355
30.0,61250.06641571,670527.0428667199,-609276.9764510099
31.0,76922.08028171572,161536.368591603,-84614.28830988728
32.0,2752.774607454327,13591.82462430574,-10839.050016851414
33.0,16.35470923616872,39.47688436316587,-23.122175126997153
34.0,0.0017146966194822465,0.018975975922270193,-0.01726127930278795
35.0,1.116400894754836e-06,4.198940976707138e-07,6.965067970841222e-07
36.0,1.5812122121619678e-12,3.5457485969692613e-13,1.2266373524650416e-12
