strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
16.0,52568.56000000001,1614886.1600000001,835938.2400000001,-3915477.8800000004,-0.11795585799668756,-1562317.6
16.5,154.16000000000003,92198.95999999999,377643.12,-122079.68,0.16260526315789472,-92044.79999999999
17.0,699294.2,2313204.64,6024995.8,-5531497.680000001,0.014837996721496808,-1613910.4400000002
17.5,42877.159999999996,687594.96,249626.40000000002,-922952.16,-0.1288780136739834,-644717.7999999999
18.0,1537689.6,13689306.480000002,6884469.760000001,-39164983.440000005,-0.25321092448127885,-12151616.880000003
18.5,322656.88000000006,857892.8800000002,925185.6,-1394426.08,-0.08819646643109542,-535236.0000000002
19.0,2708542.32,7106176.28,10473355.92,-20007518.36,-0.1527196976541091,-4397633.960000001
19.5,947988.12,1275455.92,1488913.0,-3105767.5199999996,-0.18117316199705075,-327467.79999999993
20.0,13811089.120000001,8948224.72,39319348.36,-35555659.8,0.024194356154450425,4862864.4
20.5,2193937.44,798372.08,2320085.44,-3797701.5200000005,-0.08613326027397261,1395565.3599999999
21.0,5048256.84,4345920.800000001,8422866.24,-26744746.520000003,-0.24114019547197824,702336.0399999991
21.5,1250388.0,115997.88,1181845.08,-924117.7600000001,0.018083234401793952,1134390.12
