strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
16.5,0.0,25131.7944,158364.0,-26873.416799999995,0.2352061433447099,-25131.7944
17.0,0.0,131478.1812,658259.9999999999,-91119.0204,0.16596521496370742,-131478.1812
17.5,0.0,165322.66679999998,36251.99999999999,-109336.4136,-0.046655542021924484,-165322.66679999998
18.0,0.0,996942.7835999998,7498439.999999999,-903241.6668,0.5186200900225056,-996942.7835999998
18.5,518770.69919999986,1700314.0091999997,5776537.5432,-982719.5976,0.43932211925161746,-1181543.3099999998
19.0,29686712.047199998,5207353.668,32219757.3924,-4373669.095199999,0.41889741389207813,24479358.379199997
19.5,7707686.3532,413097.26399999997,3709110.5964,-797504.6952,0.1829515525716341,7294589.089199999
20.0,18875430.917999998,437442.00839999993,10211935.0176,-1414717.3187999998,0.12690818034185683,18437988.909599997
20.5,634731.8796,4198.553999999999,403334.6004,-46451.21399999999,0.09079893203883495,630533.3256
21.0,5220123.148799999,14368.0032,2691836.5464,-82854.32759999999,0.04685574135626906,5205755.1455999985
21.5,31186.8324,8612.9028,33917.9436,-60634.52279999999,-0.07255129533678757,22573.9296
22.0,31775.831999999995,1900.1771999999996,32374.562399999995,-16102.947600000001,0.004434789391575663,29875.654799999997
