strike,call_gex,put_gex,call_dex,put_dex,net_gex
23.0,991258.56,10551827.232,12161143.008000001,-32635216.224000007,-9560568.672
23.5,73589.47200000001,1395408.384,728629.344,-1817777.3760000002,-1321818.912
24.0,919957.824,15496834.463999998,6988324.896000001,-47134208.44800001,-14576876.639999997
24.5,282745.728,3361813.632,1103134.4640000002,-5647133.376,-3079067.904
25.0,3105812.16,30976053.696000002,16912711.872,-96534763.2,-27870241.536000002
25.5,532523.8080000002,6246191.232000001,1053228.0960000001,-12300864.768000001,-5713667.424000001
26.0,5988644.928,26957129.184000004,20547750.816,-99652711.104,-20968484.256000005
26.5,5973497.280000001,3887315.712,7845351.552,-13523469.696,2086181.5680000014
27.0,11569557.888000002,11104871.904000001,33567724.512,-66866549.76,464685.9840000011
27.5,3920742.1440000003,934084.2240000002,4094833.824,-5855307.264,2986657.92
28.0,10209001.536,3135806.784,28363841.28,-26752887.360000003,7073194.752
28.5,1318799.2320000003,165608.064,1655435.2320000003,-1493417.088,1153191.1680000003
29.0,5714600.544000001,1180728.5760000001,15166123.775999999,-12268451.808000002,4533871.968
29.5,512352.864,10342.08,785614.464,-354953.66400000005,502010.784
