strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
17.0,768728.077,1001500.0810000001,6886464.4444,-769656.5472000001,0.2994340336533891,-232772.00400000007
17.5,17594.1316,204210.42740000002,141145.14260000002,-133357.7226,0.0038594802694898915,-186616.29580000002
18.0,2866098.7580000004,2641086.9860000005,12107972.861000003,-1721398.7042000003,0.35606087477531456,225011.77199999988
18.5,1328997.6016000002,3598111.7714000004,3327746.5314,-1447170.0494000001,0.1268165269774751,-2269114.1698000003
19.0,24821509.289400004,15675482.7906,31257631.896,-11293507.965200001,0.24483048893757892,9146026.498800004
19.5,20393498.5772,781346.0278,13021122.2346,-1811925.8110000002,0.25884505134759406,19612152.549399998
20.0,19887654.379400004,589200.4696000001,15407643.898400001,-3516022.8488000007,0.1531498086686842,19298453.909800004
20.5,193841.11840000004,5316.6134,102577.21680000001,-32153.499799999998,0.05143758865248226,188524.50500000003
21.0,2193528.811,0.0,1463598.01,-25246.0,0.07514762581168831,2193528.811
21.5,29984.480000000007,0.0,16772.8598,0.0,0.032347940074906364,29984.480000000007
22.0,709585.8264000001,606.4866000000001,584953.3155999999,-22857.145800000002,0.054673573857196824,708979.3398000002
