strike,call_gex,put_gex,call_dex,put_dex,net_gex
23.0,857352.34122,7971840.636960001,12471902.622720001,-24700389.54168,-7114488.295740001
23.5,24465.660120000004,865270.9494599999,293587.92144,-1268678.2943399998,-840805.2893399999
24.0,587283.6327,10488299.145659998,6440163.068879999,-32889823.647959996,-9901015.512959998
24.5,33861.7776,1361669.36076,287759.38409999997,-2773489.90704,-1327807.5831600002
25.0,2298015.86592,20724995.81928,18670387.77006,-69534269.06382,-18426979.95336
25.5,234122.11805999995,2356280.20716,1009283.4070199998,-4611040.807019999,-2122158.0891000004
26.0,3226101.9902399997,17928946.29162,18947893.976159997,-65023851.36827999,-14702844.301380001
26.5,2509762.3947599996,1775740.01076,6646514.848679999,-4483541.22408,734022.3839999996
27.0,10667713.986539999,8772774.208979998,39258461.59872,-42811923.901319996,1894939.7775600012
27.5,2139522.7662,814735.9270200001,3904018.45842,-3226167.71574,1324786.83918
28.0,13181893.134899998,3199125.61602,39384659.816759996,-20025763.25694,9982767.518879998
28.5,1260975.26574,176922.52992,2027581.7236200003,-1146983.58756,1084052.73582
29.0,6632207.72184,1239514.5754799999,20772964.918199997,-10507677.652079998,5392693.14636
29.5,723976.89858,1987.5391199999997,1170455.4781199999,-201919.25208,721989.3594600001
30.0,14489785.89156,1226627.1194399998,54441286.0815,-14558100.976259999,13263158.772119999
