strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
8.0,1476091.7144999998,1575630.5174999998,4803688.617,-2671235.1249999995,0.1417521541313262,-99538.80300000007
8.5,1332635.98,615333.056,2321978.2885,-1184879.6179999998,0.16299405281007753,717302.924
9.0,2069397.0569999998,773454.9484999998,3761034.4135,-2087870.1089999997,0.13197867759781373,1295942.1085
9.5,829611.9585,127837.76849999999,1126901.295,-412653.8065,0.16180384762633995,701774.19
10.0,2732412.111,53533.792,4095827.1314999997,-230764.09199999998,0.23466237943771803,2678878.319
