strike,call_gex,put_gex,call_dex,put_dex,net_gex
22.0,296879.82600000006,2648669.919,6929306.262,-6638122.77,-2351790.0930000003
23.0,927688.68,8473268.676,12620939.379,-26006170.17,-7545579.996000001
23.5,59266.44,930580.3500000001,1192598.919,-1291025.736,-871313.9100000001
24.0,732721.0289999999,11582970.593999999,7167280.466999999,-34852118.811,-10850249.565
24.5,245871.27899999998,1689830.5320000001,1579941.9540000001,-3141290.2139999997,-1443959.253
25.0,2520484.491,22641297.566999998,17934032.420999996,-72895988.757,-20120813.075999998
25.5,354779.75999999995,2981654.676,1137362.904,-5591594.130000001,-2626874.916
26.0,3622702.089,20253645.648,17971877.472000003,-71525452.332,-16630943.558999998
26.5,2523706.272,2318303.019,5042105.178,-6060443.873999999,205403.25300000003
27.0,11809900.155,9376524.024,35965613.922,-46982098.686,2433376.130999999
27.5,4298874.336,971079.084,5917531.401000001,-4391955.402000001,3327795.2520000003
28.0,11226217.845,3254720.4480000003,31849876.980000004,-21992573.154,7971497.397
28.5,1327486.368,158586.348,1890845.0999999996,-1162105.875,1168900.02
29.0,6615936.24,1186813.02,18529222.553999998,-11245269.600000001,5429123.220000001
