strike,call_gex,put_gex,call_dex,put_dex,net_gex
23.0,1037616.844,10853521.436,12675035.056000002,-32776052.012000002,-9815904.592
23.5,24555.915999999997,2058153.812,707986.216,-3803372.614,-2033597.896
24.0,718672.248,16193622.826000001,7717448.128,-45532534.08,-15474950.578000002
24.5,351784.278,4817209.899999999,1911704.4619999998,-7254221.188,-4465425.6219999995
25.0,4281807.806,36527743.232,23099999.034,-95157039.444,-32245935.426
25.5,2854806.908,10488502.476000002,4834122.48,-15452221.848000001,-7633695.568000002
26.0,11827469.082,29221545.268,27725767.416,-93675178.528,-17394076.185999997
26.5,9344344.22,4436465.115999999,9554447.084,-12871477.155999998,4907879.104000001
27.0,15876683.168,11679430.42,37990741.524000004,-63731837.282000005,4197252.748
27.5,5536917.291999999,1088851.244,6665537.932,-6221547.418,4448066.0479999995
28.0,11223506.996000001,3363253.434,28302690.286000002,-25424725.952,7860253.562000001
28.5,1983322.834,205083.984,2473330.204,-1788577.22,1778238.85
29.0,6278022.888,1195288.096,15479054.558,-12012911.47,5082734.792
29.5,758718.728,27295.388,1193531.488,-310271.34400000004,731423.34
30.0,13698823.840000002,1322741.508,39806276.926,-15921719.774,12376082.332000002
