strike,call_gex,put_gex,net_gex
44.5,52545.1395,101695.0865,-49149.94700000001
45.0,1839002.1300000001,672040.775,1166961.355
45.5,51529.173500000004,81624.57450000002,-30095.401000000013
46.0,787622.4580000001,612850.3885000001,174772.06949999998
46.5,167074.572,227394.96149999998,-60320.38949999999
47.0,883061.0599999999,475005.57300000003,408055.4869999999
47.5,366960.699,209496.336,157464.363
48.0,1044838.095,585217.15,459620.94499999995
48.5,296548.03500000003,103317.522,193230.51300000004
49.0,1581988.6494999998,617821.3650000001,964167.2844999997
49.5,877830.9085,127851.0275,749979.881
50.0,5657639.9285,798398.9545,4859240.974
51.0,1180422.9045000002,128675.204,1051747.7005000003
51.5,586782.5669999999,10465.4865,576317.0804999999
52.0,1874291.398,204629.0295,1669662.3685
52.5,432915.55299999996,41276.2105,391639.34249999997
53.0,1097072.2245,39778.179,1057294.0455
54.0,1071745.6435,5624.0975,1066121.546
55.0,3922810.5979999998,119526.3265,3803284.2715
56.0,1848290.962,14197.606499999998,1834093.3555
57.0,744381.7010000001,53136.0585,691245.6425000001
58.0,2174156.873,29468.1975,2144688.6755000004
59.0,223559.17149999997,63098.7455,160460.42599999998
