strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
12.0,4809774.712399999,2262894.369,160863381.7474,-3093056.3959999997,0.7488201863289741,2546880.3433999987
12.5,436077.42779999995,4199193.7298,16064335.5052,-3792131.4535999997,0.16672866878691503,-3763116.302
13.0,7305885.010799999,6748949.939799999,80269024.11479999,-8011565.881200001,0.45439751293820746,556935.0710000005
13.5,10441642.915000001,6826969.835,80832065.9858,-5810725.033399999,0.5371951586706647,3614673.080000001
14.0,35994654.032,11712394.277199998,117800992.49219999,-25024120.797999997,0.383932388866158,24282259.7548
14.5,15812521.607199997,5634768.205599999,19712152.515199997,-8696589.919,0.1983723992563693,10177753.401599998
15.0,50264954.0438,1803979.6901999998,125653353.952,-4000970.4913999997,0.4300073438110314,48460974.353599995
15.5,8555052.6154,84351.9198,6246235.1104,-274537.1554,0.17350692830890121,8470700.6956
