strike,call_gex,put_gex,call_dex,put_dex,net_gex
52.0,362819.66874,461219.80968,14461286.186579999,-4397024.34462,-98400.14094000001
52.5,24607.65276,22328.48928,872663.664,-117370.82519999999,2279.1634799999993
53.0,484151.6069399999,276954.92694,16906810.31856,-2160969.9621,207196.67999999993
53.5,20189.48826,15295.990199999998,608774.3159399999,-91970.94983999999,4893.49806
54.0,348108.70446,307345.80467999994,10890202.65462,-2729865.01116,40762.899780000036
54.5,67314.54492,51707.7597,1845232.6918799998,-314865.82536,15606.785219999998
55.0,1118350.1743199998,769101.88812,32188150.494479995,-5662411.0335,349248.28619999974
55.5,29354.89434,45120.124079999994,641779.52826,-293274.7125,-15765.229739999995
56.0,468764.2064399999,219567.54059999998,10888685.24364,-1348204.42068,249196.66583999994
56.5,102026.08283999999,106541.75166,1835957.59344,-803307.62238,-4515.668820000006
57.0,369602.313,182954.66844,7457032.88928,-1455160.5657,186647.64456000002
57.5,82963.98828,19964.009519999996,1400747.0611199997,-112105.59191999998,62999.97876000001
58.0,1298885.5168199998,263529.80088,24639768.2454,-1929439.8602399998,1035355.7159399998
58.5,42231.5586,25009.85808,499868.08452,-151375.45679999996,17221.700519999995
59.0,406629.57852,132526.65294,6416046.2988599995,-1527344.2326,274102.92558
59.5,85560.0408,36820.06883999999,847044.4039199998,-263554.17696,48739.97196000001
60.0,2340457.1331599997,314396.58582,37877186.301359996,-3578560.8945,2026060.5473399998
60.5,138358.63008,59849.37042,1115254.4121599998,-458191.08174,78509.25966000001
61.0,639037.2192599999,348961.86726,8123170.215480001,-3551588.7619799995,290075.3519999999
61.5,353977.24571999995,81233.28659999999,2640782.6267999997,-693103.3646999999,272743.95911999996
62.0,639756.31362,330046.02918,7104432.89208,-4088094.09474,309710.28444
62.5,101392.30475999998,104280.87023999999,711464.6469599999,-995714.1158399999,-2888.5654800000048
63.0,260208.55998,56887.676699999996,3632998.7751599997,-953330.20674,203320.88328
63.5,27922.799639999997,706.90632,169462.50816,-7885.66188,27215.893319999996
64.0,429866.07677999994,136719.3387,3655455.2388599995,-2602049.03568,293146.7380799999
64.5,21932.377979999997,11091.116399999997,100368.50940000001,-146104.12949999998,10841.26158
65.0,1144469.14404,91203.10332,14162490.291959997,-1711798.02996,1053266.04072
66.0,134818.00446,2468.0781,1232277.87822,-49708.92114,132349.92635999998
67.0,196001.96526,1291.9322399999999,2152072.6928999997,-28964.877060000003,194710.03302
68.0,96322.08012,8824.140959999999,1297557.02046,-231974.96532,87497.93916
69.0,42243.74664,694.71828,533830.05798,-19269.291240000002,41549.02836
70.0,585129.51834,6916.7127,8054350.44762,-297260.20158,578212.8056399999
