strike,call_gex,put_gex,call_dex,put_dex,net_gex,net_dex
4.0,5.954975176936497,150.96248760233817,0.0,0.0,-145.00751242540167,0.0
5.0,325392.86762041156,947237.4103084577,0.0,0.0,-621844.5426880461,0.0
