strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
5.5,870736.8533999999,904792.7588,4096561.1415,-944735.2789,0.3296023254352335,-34055.90540000005
6.0,467016.72609999997,4918428.881899999,804581.1773999999,-2090979.2467999998,-0.21767816536153767,-4451412.1558
6.5,726190.1631,523435.48089999997,639240.7285,-3590963.2805,-0.5020292343861801,202754.68220000004
7.0,2540127.8822999997,690902.0875,4613912.398899999,-5742740.2883,-0.05639203170504699,1849225.7947999998
