strike,call_gex,put_gex,call_dex,put_dex,net_gex,net_dex
22.0,0.0003792768545870912,0.0016844728759933395,0.0,0.0,-0.0013051960214062483,0.0
23.0,3.8570690290700202,29.763061379512205,0.0,0.0,-25.905992350442183,0.0
23.5,2.158470139115605,67.12315676518041,0.0,0.0,-64.9646866260648,0.0
24.0,6193.409443159932,13686.426041911072,0.0,0.0,-7493.01659875114,0.0
24.5,301.8317619605359,18573.433066357265,0.0,0.0,-18271.60130439673,0.0
25.0,414106.5009555875,1581568.8313764196,0.0,0.0,-1167462.3304208321,0.0
25.5,37661.68369552034,536608.2000226395,0.0,0.0,-498946.51632711914,0.0
26.0,6057743.08109329,21785770.75872794,0.0,0.0,-15728027.677634653,0.0
26.5,330662.66789905675,18332609.21808466,0.0,0.0,-18001946.550185602,0.0
27.0,13445690.62374756,24519468.291141387,0.0,0.0,-11073777.667393828,0.0
27.5,3926377.3983946526,4287297.883483854,0.0,0.0,-360920.4850892015,0.0
28.0,9133588.909391178,9210446.491753578,0.0,0.0,-76857.58236240037,0.0
28.5,676055.8849209747,490226.99330113886,0.0,0.0,185828.89161983586,0.0
29.0,753675.311651461,399052.8641269614,0.0,0.0,354622.44752449956,0.0
29.5,58982.132703891744,19851.689176923348,0.0,0.0,39130.443526968396,0.0
30.0,56162.13329374321,10188.471710464944,0.0,0.0,45973.66158327826,0.0
30.5,74.18630959257507,0.0,0.0,0.0,74.18630959257507,0.0
31.0,213.8046870227348,25.912797441350783,0.0,0.0,187.89188958138402,0.0
31.5,0.07001697145387827,0.0,0.0,0.0,0.07001697145387827,0.0
32.0,0.6650319094241328,0.06187552558363708,0.0,0.0,0.6031563838404957,0.0
