strike,put_gex,put_dex,net_greek_delta,call_gex,call_dex,net_gex
5850.0,0.0,146976.44906400004,0.00017844611528822056,0.0,0.0,0.0
5875.0,0.0,-267117.31051800004,-0.002193220338983051,0.0,0.0,0.0
5900.0,0.0,-5966652.072887,-0.002856159420289855,0.0,0.0,0.0
5925.0,0.0,-476022.03868199995,-0.002189240506329114,0.0,0.0,0.0
5950.0,0.0,-644398.148635,-0.002432467532467533,0.0,0.0,0.0
5975.0,0.0,-345766.224975,-0.0023928571428571428,0.0,0.0,0.0
6000.0,0.0,-8745718.002098998,-0.002749913457377758,0.0,0.0,0.0
6025.0,0.0,-311017.57947999996,-0.002897435897435897,0.0,0.0,0.0
6050.0,0.0,-359321.637178,-0.0032234567901234567,0.0,0.0,0.0
6075.0,0.0,-296154.79249599995,-0.0037754385964912283,0.0,0.0,0.0
6100.0,0.0,-2430822.5730729997,-0.0031541964285714285,0.0,0.0,0.0
6125.0,0.0,-755593.814219,-0.004445748987854251,0.0,0.0,0.0
6150.0,0.0,-2789180.8814649996,-0.0054409395973154355,0.0,0.0,0.0
6175.0,0.0,-1785048.240458,-0.00545,0.0,0.0,0.0
6200.0,0.0,245580.03123100055,0.00022848911651728582,0.0,0.0,0.0
6225.0,0.0,-1550271.2534699999,-0.0066264705882352936,0.0,0.0,0.0
6250.0,0.0,-1767020.2303199999,-0.00694054054054054,0.0,0.0,0.0
6275.0,0.0,-4027677.654266,-0.006854098360655738,0.0,0.0,0.0
6300.0,28074.153192,-6714126.401624,-0.0060381188118811885,0.0,0.0,-28074.153192
6325.0,26147.495619999998,-3366490.061075,-0.0103,0.0,0.0,-26147.495619999998
6340.0,0.0,-36606.493868,-0.0076,0.0,0.0,0.0
6350.0,21193.233292,-1230239.6689209999,-0.0031421792618629174,0.0,0.0,-21193.233292
6360.0,0.0,-546207.421662,-0.0081,0.0,0.0,0.0
6370.0,2408.321965,-209524.010955,-0.0087,0.0,0.0,-2408.321965
6375.0,237185.308953,-19797645.117882,-0.008339652173913043,0.0,0.0,-237185.308953
6380.0,2958.795557,-263332.80457299994,-0.0089,0.0,0.0,-2958.795557
6390.0,2339.5127660000003,-222253.71277,-0.0095,0.0,0.0,-2339.5127660000003
6400.0,293058.378541,-26571497.904238,-0.00904572499414383,0.0,0.0,-293058.378541
6410.0,1857.848373,-278539.637552,-0.014992592592592594,0.0,0.0,-1857.848373
6420.0,8807.577472,5568590.856671999,0.05864347826086957,0.0,0.0,-8807.577472
6425.0,50093.096871999995,-7113357.374221999,-0.014200274725274725,0.0,0.0,-50093.096871999995
6430.0,5091.880725999999,-768873.9896259999,-0.015099999999999999,0.0,0.0,-5091.880725999999
6440.0,24152.028849,-1738257.9851379998,-0.013295789473684209,0.0,0.0,-24152.028849
6450.0,156128.072531,-13243431.294733997,-0.014931419705197825,0.0,0.0,-156128.072531
6460.0,18922.529725,1072047.32042,0.007349056603773586,0.0,0.0,-18922.529725
6470.0,413612.095189,-48629387.590872005,-0.023088141130349557,0.0,0.0,-413612.095189
6475.0,53602.366020999994,-6338772.221079,-0.017957309941520467,0.0,0.0,-53602.366020999994
6480.0,24358.456446000004,-2622456.192288,-0.02153220338983051,0.0,0.0,-24358.456446000004
6485.0,2339.5127660000003,-191840.04681200004,-0.0164,0.0,0.0,-2339.5127660000003
6490.0,252392.14193200003,-15455371.805787997,-0.012180694143167027,0.0,0.0,-252392.14193200003
6495.0,12660.892616,-1095167.211284,-0.0173,0.0,0.0,-12660.892616
6500.0,572630.154078,-38457736.557896,-0.01554238042269188,0.0,0.0,-572630.154078
6505.0,3578.078348,-334550.32553800003,-0.0187,0.0,0.0,-3578.078348
6510.0,99566.910953,-9964191.297991,-0.024337647058823533,0.0,0.0,-99566.910953
6515.0,3990.933542,-403084.28774199996,-0.0202,0.0,0.0,-3990.933542
6520.0,63235.653881000006,-5444459.061675999,-0.022802305475504322,0.0,0.0,-63235.653881000006
6525.0,158123.53930200002,-17607585.93211,-0.027193411264612118,0.0,0.0,-158123.53930200002
6530.0,101355.95012699999,-2051890.3141799998,-0.004825242718446601,0.0,0.0,-101355.95012699999
6535.0,8050.676282999999,-755318.577423,-0.02814615384615385,0.0,0.0,-8050.676282999999
6540.0,525082.997569,-39667264.657918,-0.028595337301587302,0.0,0.0,-525082.997569
6545.0,27454.870401,-2381348.758992,-0.027466666666666667,0.0,0.0,-27454.870401
6550.0,895826.9617809999,-87005378.820356,-0.03792573485302939,0.0,0.0,-895826.9617809999
6555.0,70047.764582,-7029823.006635999,-0.035350865051903116,0.0,0.0,-70047.764582
6560.0,185234.363708,-19271392.363929998,-0.03857713498622589,0.0,0.0,-185234.363708
6565.0,89933.62309300002,-9953594.681345,-0.04074788732394366,0.0,0.0,-89933.62309300002
6570.0,136379.83241799998,-12498709.333956998,-0.04314560570071259,0.0,0.0,-136379.83241799998
6575.0,328495.11602600006,-31340869.914525,-0.044698233562315996,0.0,0.0,-328495.11602600006
6580.0,211657.09612400003,-6278564.171954001,-0.012906082036775105,0.0,0.0,-211657.09612400003
6585.0,145256.21908900002,-14926022.637881003,-0.048097339246119745,0.0,0.0,-145256.21908900002
6590.0,212482.806512,-21574986.728051998,-0.04779695121951219,0.0,0.0,-212482.806512
6595.0,100186.19374399999,-9743589.005997,-0.0493390243902439,0.0,0.0,-100186.19374399999
6600.0,2199761.282831,-167703500.032775,-0.039791428571428575,0.0,0.0,-2199761.282831
6605.0,137687.20719899997,-13884733.029414,-0.05732556818181818,0.0,0.0,-137687.20719899997
6610.0,283906.755074,-29858788.577264,-0.05993591160220994,0.0,0.0,-283906.755074
6615.0,217712.30563599998,-21059192.972348,-0.059543190661478604,0.0,0.0,-217712.30563599998
6620.0,493637.1936259999,-41898196.507896,-0.05258238341968912,0.0,0.0,-493637.1936259999
6625.0,460127.11371299997,-44227663.130842,-0.0619824493731919,0.0,0.0,-460127.11371299997
6630.0,186816.97528499996,-17973788.489188,-0.06018709677419355,0.0,0.0,-186816.97528499996
6635.0,151930.71139200003,-12438501.284832,-0.060660402684563755,0.0,0.0,-151930.71139200003
6640.0,723322.299888,-12819773.056490995,-0.012153228962818006,0.0,0.0,-723322.299888
6645.0,206634.02459699998,-19946204.178523,-0.07070170731707318,0.0,0.0,-206634.02459699998
6650.0,1141406.993012,-101126953.112728,-0.07396436839456466,0.0,0.0,-1141406.993012
6655.0,149728.817024,-14019323.822657999,-0.07989882352941177,0.0,0.0,-149728.817024
6660.0,350445.250507,-35441072.464536995,-0.08671094276094275,0.0,0.0,-350445.250507
6665.0,190532.672031,-18454420.744203,-0.09312395833333335,0.0,0.0,-190532.672031
6670.0,359940.919969,-37012468.1421,-0.10054205607476635,0.0,0.0,-359940.919969
6675.0,301040.245625,-25467247.878686003,-0.0787476595744681,0.0,0.0,-301040.245625
6680.0,409345.92485099996,-24885259.673544005,-0.06182153846153847,0.0,0.0,-409345.92485099996
