strike,call_gex,put_gex,net_gex
24.0,1109527.9249999998,9238270.524999999,-8128742.599999999
24.5,66365.58499999999,1895482.6549999998,-1829117.0699999998
25.0,16482837.6625,34076683.65749999,-17593845.99499999
25.5,503685.73750000005,7280944.054999999,-6777258.317499999
26.0,6707951.359999999,28026610.947499998,-21318659.5875
26.5,5142135.734999999,12991136.8675,-7849001.1325
27.0,35938528.01,33019236.634999998,2919291.375
27.5,11106989.19,6032918.87,5074070.319999999
28.0,25691741.68,8888486.0625,16803255.6175
28.5,6663066.959999999,1652498.6224999998,5010568.337499999
29.0,14431023.419999998,3286129.6875,11144893.732499998
29.5,4182526.15,381522.95499999996,3801003.195
30.0,28556049.665,3107242.0225000004,25448807.6425
30.5,1760665.5825,96632.00249999999,1664033.58
31.0,8087213.42,498127.95999999996,7589085.46
31.5,574242.5700000001,466.61999999999995,573775.9500000001
