strike,call_gex,put_gex,call_dex,put_dex,net_gex
3.5,1532722.8705,489800.147,2629424.7030000007,-408386.084,1042922.7235
4.0,3291242.4315000004,454220.73350000003,4452863.271500001,-609700.6435,2837021.6980000003
