strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
16.5,0.0,31630.661999999997,171990.0,-36262.296,0.2309118971061093,-31630.661999999997
17.0,1864.2959999999998,188742.582,231864.444,-175570.41599999997,0.027655710306406688,-186878.286
17.5,226.04399999999995,220710.04199999996,67926.411,-204379.87499999997,-0.0907005025125628,-220483.99799999996
18.0,989096.5349999999,862680.294,3823793.1899999995,-857281.887,0.3527944931445268,126416.24099999992
18.5,1475147.646,879871.5449999999,2547774.243,-689266.5569999999,0.31659285254346425,595276.101
19.0,13905156.951,3140389.791,14695323.236999998,-3907015.9379999996,0.28453711679377897,10764767.16
19.5,4718890.007999999,311285.45699999994,2545468.2539999997,-675239.733,0.1445004234813084,4407604.550999999
20.0,10854407.402999999,214885.62899999996,5866009.8209999995,-846960.786,0.09795940462577003,10639521.773999998
20.5,586089.7559999999,7748.0549999999985,344915.361,-42001.092,0.06950221162185602,578341.7009999999
21.0,6477948.729,11247.578999999998,4226162.85,-72098.208,0.06440218588842006,6466701.15
21.5,24250.779,8205.435,24906.041999999998,-61237.89,-0.10922272727272729,16045.344
