strike,call_gex,put_gex,call_dex,put_dex,net_gex
50.0,986578.943,564056.122,49084254.054500006,-5541753.9625,422522.821
50.5,64628.756499999996,31914.714999999997,3378175.5,-198565.5385,32714.0415
51.0,214178.6605,97080.2455,9649370.3215,-786076.3505,117098.415
51.5,77347.96650000001,125383.405,3185946.2285,-959617.7185,-48035.43849999999
52.0,347368.62649999995,441578.298,13845437.7005,-4209772.6195,-94209.67150000005
52.5,23559.711000000003,21377.608,835500.3999999999,-112372.46999999999,2182.103000000003
53.0,463533.5215,265160.52150000003,16186816.716,-2068942.8725,198372.99999999994
53.5,19329.6985,14644.595,582849.0464999999,-88054.27399999999,4685.103499999999
54.0,333284.1435,294257.173,10426432.3695,-2613610.951,39026.970499999996
54.5,64447.887,49505.732500000006,1766651.5929999999,-301456.946,14942.154499999997
55.0,1070724.102,736348.907,30817385.577999998,-5421271.5375,334375.19499999995
55.5,28104.786500000002,43198.638,614448.6985,-280785.3125,-15093.851499999997
56.0,448801.409,210217.03499999997,10424979.579,-1290789.773,238584.374
56.5,97681.19899999998,102004.56349999999,1757771.484,-769097.9555,-4323.364500000011
57.0,353862.42500000005,175163.359,7139467.608,-1393191.0825,178699.06600000005
57.5,79430.88300000002,19113.821999999996,1341094.832,-107331.46199999998,60317.061000000016
58.0,1243571.1645,252307.118,23590458.815,-1847272.7139999997,991264.0464999999
58.5,40433.085,23944.788,478580.697,-144928.97999999998,16488.297
59.0,389312.847,126882.8715,6142812.483499999,-1462300.7349999999,262429.9755
59.5,81916.38,35252.04899999999,810972.1619999999,-252330.456,46664.33100000001
60.0,2240786.4009999996,301007.6895,36264148.046,-3426164.2625,1939778.7114999997
60.5,132466.488,57300.6245,1067760.176,-438678.5515,75165.8635
61.0,611823.1734999999,334100.9735,7777236.803,-3400340.7654999997,277722.1999999999
61.5,338902.76699999993,77773.885,2528322.23,-663586.8575,261128.88199999993
62.0,612511.6445,315990.68549999996,6801883.438,-3913998.4765,296520.9590000001
62.5,97074.41099999998,99839.96399999999,681166.2059999999,-953310.624,-2765.5530000000144
63.0,249127.3155,54465.0575,3478283.851,-912731.6765000001,194662.258
63.5,26733.679,676.802,162245.776,-7549.843,26056.877
64.0,411559.7955,130897.0075,3499783.9835,-2491238.148,280662.788
64.5,20998.3655,10618.789999999997,96094.21500000001,-139882.1375,10379.575500000003
65.0,1095730.7689999999,87319.127,13559366.330999998,-1638899.381,1008411.6419999999
66.0,129076.6435,2362.9725000000003,1179800.0795,-47592.0165,126713.671
67.0,187655.0235,1236.914,2060424.5025,-27731.378500000003,186418.10950000002
