strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
15.5,0.0,24887.990999999995,12729.5,-26882.8855,-0.020589947089947085,-24887.990999999995
16.0,50848.897000000004,1562058.7669999998,808592.3879999999,-3787391.7685,-0.11795585799668756,-1511209.8699999996
16.5,149.11700000000002,89182.87699999998,365289.369,-118086.11599999998,0.16260526315789472,-89033.75999999998
17.0,676418.3524999999,2237533.3179999995,5827901.522499999,-5350547.091,0.014837996721496808,-1561114.9654999995
17.5,41474.52949999999,665101.8269999999,241460.43,-892759.842,-0.1288780136739834,-623627.2975
18.0,1487387.52,13241491.401,6659259.712,-37883788.503,-0.25321092448127885,-11754103.881000001
18.5,312101.881,829828.8310000001,894920.2199999999,-1348810.5459999999,-0.08819646643109542,-517726.9500000001
19.0,2619938.4089999995,6873713.598499998,10130743.478999998,-19353017.094499998,-0.1527196976541091,-4253775.189499998
19.5,916976.8064999998,1233732.2289999998,1440206.5375,-3004169.2739999997,-0.18117316199705075,-316755.4225
20.0,13359290.194,8655503.538999999,38033103.71949999,-34392535.8225,0.024194356154450425,4703786.655000001
20.5,2122167.6779999994,772255.1209999998,2244189.0279999995,-3673468.199,-0.08613326027397261,1349912.5569999996
