strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
15.0,827730.7076,7417896.5064,6868288.6944,-13790214.105,-0.08316781786729271,-6590165.7988
15.5,47292.345199999996,1776472.2148,265802.4922,-2276284.8988,-0.16116747732893655,-1729179.8695999999
16.0,1117042.4238,20791893.3068,5089846.408,-52358264.6822,-0.281653699164573,-19674850.883
16.5,1262931.4192000001,2881597.3680000002,3396530.2744,-4844009.2734,-0.07891818521633494,-1618665.9488000001
17.0,5281592.445,12694996.5574,16330310.342200002,-34693962.709,-0.17657875896168104,-7413404.112399999
17.5,3411160.6355999997,1783249.3708,5131500.5502,-4455113.8144,0.03257592042265151,1627911.2647999998
18.0,7312627.7683999995,8546726.965200001,13733909.7192,-34238992.55,-0.21673023424337393,-1234099.196800002
18.5,2000137.7310000001,340357.7214,1973758.7568,-1783341.0698000002,0.01365312768833723,1659780.0096000002
19.0,6970885.6492,2763272.5778000006,12521245.806400001,-18451171.7778,-0.072413506498943,4207613.0714
19.5,1975899.3714,104365.80279999999,1663265.2572000003,-1057008.374,0.025411940512967888,1871533.5686
