strike,call_gex,put_gex,call_dex,put_dex,net_gex
32.0,2453.88,74954.88000000002,56513.6,-492560.6400000001,-72501.00000000001
33.0,8253.96,72408.05,161063.76,-457406.95,-64154.090000000004
34.0,6841.12,47002.956,116641.096,-349164.81600000005,-40161.835999999996
35.0,16768.18,36599.992,260929.24000000002,-284047.76399999997,-19831.811999999998
36.0,25141.116,17311.007999999998,355567.212,-146422.276,7830.108000000004
37.0,57636.435999999994,12894.024,686625.3680000001,-115540.568,44742.412
38.0,40332.86400000001,10618.607999999998,419293.73199999996,-105561.45599999999,29714.25600000001
39.0,51531.48,7696.259999999999,529056.528,-90849.33,43835.22
40.0,106156.336,7164.586,1046750.8479999999,-90243.29599999999,98991.75
41.0,43165.98,7194.329999999999,353001.79199999996,-101360.116,35971.65
42.0,179624.016,2717.8579999999997,1306356.48,-42221.60799999999,176906.158
