strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
8.0,7831.7294999999995,143528.4036,39573.8733,-122730.3048,-0.13438315629742034,-135696.6741
8.5,4910.97,61056.7848,13145.342700000001,-38850.3738,-0.15732701149425288,-56145.8148
9.0,398864.3823,1967165.7497999999,483649.50930000003,-2354340.2394000003,-0.43784964835164836,-1568301.3675
9.5,891198.8904,167466.7062,559953.9639000001,-352756.47750000004,0.0819070527097253,723732.1842
10.0,673087.1253000001,0.0,535978.7586000001,-1150275.0,-0.1401462296486718,673087.1253000001
10.5,203364.0189,0.0,117388.2399,-71364.0,0.0267252453653217,203364.0189
