strike,call_gex,put_gex,call_dex,put_dex,net_gex
14.0,4990.281,323332.794,335115.174,-749585.826,-318342.513
14.5,938.652,57444.846000000005,16260.669,-99442.959,-56506.194
15.0,25597.958999999995,906803.4720000001,378411.31799999997,-2333178.7229999998,-881205.513
15.5,26085.336,240248.964,262957.12200000003,-435357.3,-214163.628
16.0,214089.783,1211830.911,1828804.2449999996,-3126433.1999999997,-997741.128
16.5,26715.48,951161.343,165919.869,-2147296.089,-924445.863
17.0,228176.12699999998,1960415.727,1368431.541,-4998266.106,-1732239.6
17.5,386091.198,1353952.9980000001,1466994.9239999999,-3259147.434,-967861.8000000002
18.0,1096842.759,3888475.857,4338912.306,-11110653.059999999,-2791633.0979999998
18.5,897999.5070000001,1782857.886,1887353.4840000002,-5207482.119,-884858.3789999998
