strike,call_gex,put_gex,call_dex,put_dex,net_gex
55.5,49568.702000000005,179033.08599999998,743303.24,-1109357.032,-129464.38399999998
56.0,691734.3859999999,603065.3099999999,11787097.05,-4173745.7520000003,88669.076
56.5,145524.046,168051.73200000002,1769011.0579999997,-1374825.258,-22527.686000000016
57.0,588252.496,348468.04,8524173.762,-3248681.9459999995,239784.45600000006
57.5,106371.72,85168.81,1261407.548,-596181.6699999999,21202.910000000003
58.0,1621356.98,646165.988,23269222.871999998,-5780413.304,975190.992
58.5,66862.224,92266.752,515649.57599999994,-706417.32,-25404.52799999999
59.0,647828.4519999999,366144.708,7823945.224,-4715637.5819999995,281683.74399999995
59.5,128321.44000000002,55718.52,878508.32,-507967.174,72602.92000000001
60.0,2972472.644,946279.7039999999,39158982.35,-12261957.811999999,2026192.94
60.5,179546.112,145238.31,1066055.04,-1427024.03,34307.801999999996
61.0,883469.7359999999,726295.454,8398917.489999998,-8709902.162,157174.2819999999
61.5,354962.04,164220.272,1887214.846,-1891364.5119999999,190741.76799999998
62.0,941013.07,656069.338,8524004.918,-10990861.215999998,284943.73199999996
62.5,160258.932,101696.04,804262.4180000001,-1363480.2399999998,58562.89200000001
63.0,361904.126,65167.29,3771513.886,-1264946.778,296736.836
63.5,102462.332,12468.48,460034.95999999996,-197937.12,89993.852
64.0,559873.716,160590.126,3999972.806,-3402537.7939999998,399283.59
64.5,39373.121999999996,9773.47,151998.564,-190923.6,29599.651999999995
65.0,1359440.9719999998,112735.84,14055853.877999999,-2495072.728,1246705.1319999998
66.0,265039.622,12845.131999999998,1742801.2739999997,-343623.516,252194.49
67.0,267877.5,2571.624,2532926.254,-70368.984,265305.876
68.0,223211.76799999998,11533.344,2395591.1419999995,-337226.926,211678.42399999997
69.0,53322.234,7039.496,572692.872,-252019.152,46282.738
70.0,788826.18,16247.988000000001,10454443.828000002,-563815.574,772578.192
71.0,56413.378,2824.8900000000003,631177.836,-108644.62,53588.488
72.0,52270.206,13039.952,476912.866,-486952.5900000001,39230.254
73.0,39996.545999999995,259.76,293132.666,-10344.942,39736.78599999999
74.0,20059.966,1487.126,154868.91199999998,-58387.554,18572.84
