strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
17.5,1607.01,154677.79500000004,112770.18,-126577.725,-0.002212380638788279,-153070.78500000003
18.0,827667.6900000001,3453739.86,11171014.935,-8129423.820000001,0.04315014139529461,-2626072.17
18.5,38163.405,327969.77999999997,393544.83,-298131.18,0.015993799517740277,-289806.375
19.0,1080825.195,10913899.5,9001446.63,-17578007.625000004,-0.07125312003824286,-9833074.305
19.5,203294.98500000004,1281341.82,1196246.325,-1314731.46,-0.010897183897183882,-1078046.835
20.0,5346699.000000001,14709920.160000002,30811743.195000004,-28950069.375000004,0.012770464765502747,-9363221.16
20.5,1593356.5800000003,4143985.5899999994,4544262.600000001,-4678797.285,-0.006170311027332703,-2550629.009999999
21.0,7631121.255000001,15638085.570000002,24606329.565000005,-36317441.655,-0.09425331194284108,-8006964.315000001
21.5,4390449.960000001,2068073.9100000004,7209901.740000001,-4014904.8750000005,0.1329863142588316,2322376.0500000007
22.0,11870876.010000002,14481044.535000002,26660057.520000003,-55932496.800000004,-0.18250007687182904,-2610168.5250000004
22.5,4979860.95,238996.5,5311665.36,-5393534.505,-0.0024206464941062115,4740864.45
23.0,13327513.44,15603549.24,24833376.24,-110844034.665,-0.35175552791481424,-2276035.8000000007
23.5,4252822.5,2962389.3600000003,4961119.35,-56935188.84,-0.5173464929326815,1290433.1399999997
