strike,call_gex,put_gex,net_gex
25.5,156954.162,3027316.602,-2870362.44
26.0,5968677.9059999995,16800285.9305,-10831608.024500001
26.5,888251.8900000001,4305440.532500001,-3417188.6425000005
27.0,20405885.569,22263194.165,-1857308.5960000008
27.5,2850670.9804999996,1666917.5520000001,1183753.4284999995
28.0,16197470.335,5669717.1765,10527753.1585
28.5,4296633.444,350733.681,3945899.7630000003
29.0,12121308.753500002,2449390.092,9671918.661500001
29.5,1387872.216,16624.153000000002,1371248.063
30.0,30096429.057,3334017.7869999995,26762411.27
30.5,532394.2455,0.0,532394.2455
31.0,6901778.472499999,478296.50549999997,6423481.966999999
31.5,154629.3735,0.0,154629.3735
32.0,8287938.771999999,128632.40400000001,8159306.367999999
33.0,2115003.593,207660.4805,1907343.1124999998
