strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
18.0,523112.6475,3397225.0300000003,3697045.6100000003,-8266859.4675,-0.1600745220162225,-2874112.3825000003
18.5,951.0500000000001,120905.33249999999,4548.500000000001,-179961.40250000003,-0.4306751269035533,-119954.28249999999
19.0,302435.9675,5638105.58,1648440.4925000002,-15851433.5975,-0.4398825638727028,-5335669.6125
19.5,18524.800000000003,0.0,60929.225,-1445182.5,-0.8706501950585175,18524.800000000003
20.0,2640065.18,8268174.397500001,12288295.8275,-75320769.97,-0.5180508241291418,-5628109.217500001
20.5,129694.27500000001,0.0,295239.00000000006,-7312747.5,-0.8386953298739807,129694.27500000001
21.0,3436933.435,1249501.8950000003,10682212.207500001,-93901334.58,-0.632083652638191,2187431.54
21.5,305233.29500000004,0.0,544385.155,-2745640.0,-0.37357684210526315,305233.29500000004
22.0,3152412.3550000004,0.0,9184271.2425,-84467712.5,-0.6062634488270259,3152412.3550000004
22.5,377043.7725,0.0,584691.0675,-4804870.0,-0.41095208375276826,377043.7725
23.0,4430243.135000001,0.0,11206703.877500001,-134331677.5,-0.6060098402360843,4430243.135000001
23.5,1238918.3625,0.0,2129709.0075,-56302160.0,-0.6810821397936108,1238918.3625
