strike,call_gex,put_gex,net_gex
16.0,274512.0125,1314327.1375,-1039815.125
16.43,204422.4125,368076.5625,-163654.15
16.5,35437.787500000006,791964.7999999999,-756527.0125
17.0,690303.9625,2223068.825,-1532764.8625000003
17.43,419844.75,842982.4,-423137.65
17.5,531859.225,1288157.1500000001,-756297.9250000002
18.0,1810970.2125,2702984.7874999996,-892014.5749999997
18.43,470473.08749999997,420714.53750000003,49758.54999999993
18.5,944909.575,2450353.4250000003,-1505443.8500000003
19.0,1217793.7625,1831850.6999999997,-614056.9374999998
19.43,640249.2749999999,299432.2625,340817.0124999999
19.5,908581.5125000001,645676.6,262904.9125000001
20.0,2446302.4875,1114629.8875,1331672.5999999999
20.43,900421.9,393235.21249999997,507186.68750000006
20.5,457539.88749999995,190932.325,266607.56249999994
21.0,998467.6250000001,539713.3875,458754.23750000016
