strike,call_gex,put_gex,net_gex,abs_net_gex,GSI,pressure_zone
3.0,0.0,27665.9625,-27665.9625,27665.9625,0.0,False
4.0,10.340000000000002,909.92,-899.5799999999999,899.5799999999999,0.011235955056179777,False
5.0,71.08749999999999,32038.490000000005,-31967.402500000004,31967.402500000004,0.002213903312804411,False
6.0,62.04,1691.8825000000002,-1629.8425000000002,1629.8425000000002,0.03537214443625644,False
7.0,0.0,6677.055,-6677.055,6677.055,0.0,False
8.0,0.0,4315.6575,-4315.6575,4315.6575,0.0,False
9.0,7372.42,26288.1575,-18915.737500000003,18915.737500000003,0.21902238605383406,False
10.0,14251.105,614824.1550000001,-600573.0500000002,600573.0500000002,0.022654054142901753,True
10.5,0.0,0.0,0.0,0.0,0.0,False
11.0,10352.925000000001,142237.04,-131884.11500000002,131884.11500000002,0.0678480069118569,False
11.5,0.0,0.0,0.0,0.0,0.0,False
12.0,445434.275,1262927.6,-817493.3250000001,817493.3250000001,0.2607376584074144,True
12.5,0.0,0.0,0.0,0.0,0.0,False
13.0,1076417.2650000001,1018040.2100000002,58377.054999999935,58377.054999999935,0.5139360802730072,False
13.5,0.0,0.0,0.0,0.0,0.0,False
14.0,1544687.4300000002,546417.3,998270.1300000001,998270.1300000001,0.7386944364092181,True
14.5,0.0,0.0,0.0,0.0,0.0,False
15.0,614669.055,553337.3450000001,61331.70999999996,61331.70999999996,0.5262548689801699,False
16.0,332177.67,202498.56,129679.10999999999,129679.10999999999,0.6212688190757985,False
17.0,204289.965,134594.48750000002,69695.47749999998,69695.47749999998,0.6028307391883078,False
18.0,619364.7075,52669.375,566695.3325,566695.3325,0.9216269287949395,True
19.0,207242.035,0.0,207242.035,207242.035,1.0,True
20.0,437645.67000000004,0.0,437645.67000000004,437645.67000000004,1.0,True
21.0,59325.75,42435.36000000001,16890.389999999992,16890.389999999992,0.5829903978052126,False
22.0,94642.01999999999,30112.664999999997,64529.354999999996,64529.354999999996,0.7586249766892522,False
23.0,76200.63,62955.090000000004,13245.54,13245.54,0.5475925100312082,False
24.0,103432.3125,25229.600000000002,78202.7125,78202.7125,0.8039077804008237,False
25.0,196765.03,102530.1475,94234.88249999999,94234.88249999999,0.6574280001554653,False
26.0,17195.420000000002,6749.435000000001,10445.985,10445.985,0.7181258771456331,False
27.0,32214.270000000004,0.0,32214.270000000004,32214.270000000004,1.0,False
28.0,49833.630000000005,0.0,49833.630000000005,49833.630000000005,1.0,False
29.0,6061.825000000001,0.0,6061.825000000001,6061.825000000001,1.0,False
30.0,126975.20000000001,0.0,126975.20000000001,126975.20000000001,1.0,False
31.0,12375.687500000002,0.0,12375.687500000002,12375.687500000002,1.0,False
32.0,10205.580000000002,188.705,10016.875000000002,10016.875000000002,0.9818453121114151,False
33.0,9340.8975,1442.4300000000003,7898.467499999999,7898.467499999999,0.866235167206041,False
34.0,8034.18,0.0,8034.18,8034.18,1.0,False
35.0,99558.69,75980.90500000001,23577.78499999999,23577.78499999999,0.5671580249458817,False
36.0,11529.1,0.0,11529.1,11529.1,1.0,False
37.0,2714.25,9470.147500000001,-6755.897500000001,6755.897500000001,0.22276440012729393,False
38.0,45382.26000000001,0.0,45382.26000000001,45382.26000000001,1.0,False
39.0,2347.18,0.0,2347.18,2347.18,1.0,False
40.0,20570.1375,186.12000000000003,20384.0175,20384.0175,0.991033065570708,False
41.0,1556.17,0.0,1556.17,1556.17,1.0,False
42.0,9246.545,0.0,9246.545,9246.545,1.0,False
43.0,5066.6,31.02,5035.58,5035.58,0.9939148073022311,False
44.0,2329.0850000000005,0.0,2329.0850000000005,2329.0850000000005,1.0,False
45.0,14121.855,175.78000000000003,13946.074999999999,13946.074999999999,0.9877056590128367,False
46.0,2977.92,1483.7900000000002,1494.1299999999999,1494.1299999999999,0.6674391657010429,False
47.0,3885.2549999999997,806.52,3078.7349999999997,3078.7349999999997,0.828099173553719,False
48.0,1388.1450000000002,723.8000000000002,664.345,664.345,0.657282741738066,False
49.0,1719.025,11942.7,-10223.675000000001,10223.675000000001,0.12582781456953643,False
50.0,29039.890000000003,167655.345,-138615.455,138615.455,0.1476390111839771,False
