strike,call_gex,put_gex,call_dex,put_dex,net_gex,net_dex
55.0,0.27010177267908975,0.14045292179312668,0.0,0.0,0.12964885088596306,0.0
60.0,2213.839546617948,10637.686635020144,0.0,0.0,-8423.847088402195,0.0
61.0,0.0,1656.501094028726,0.0,0.0,-1656.501094028726,0.0
62.0,0.0,51957.006241300856,0.0,0.0,-51957.006241300856,0.0
63.0,16680.46709781238,5361.578710011122,0.0,0.0,11318.888387801257,0.0
63.5,0.0,4420.498441590209,0.0,0.0,-4420.498441590209,0.0
64.0,1038.4199940788321,60747.56965361169,0.0,0.0,-59709.14965953286,0.0
65.0,304146.30177321483,521175.32112897607,0.0,0.0,-217029.01935576124,0.0
66.0,518666.925213705,92824.15451241584,0.0,0.0,425842.7707012892,0.0
67.0,111933.05365170009,294722.81099117355,0.0,0.0,-182789.75733947346,0.0
68.0,3815464.927360387,251955.69542748635,0.0,0.0,3563509.231932901,0.0
69.0,428830.19448601594,131477.3501810958,0.0,0.0,297352.8443049202,0.0
70.0,1571034.2583688141,140136.6853842312,0.0,0.0,1430897.572984583,0.0
71.0,37779.74943706303,64954.65692688031,0.0,0.0,-27174.907489817277,0.0
72.0,109703.49773089112,7771.417466932978,0.0,0.0,101932.08026395814,0.0
73.0,11905.36848178971,875.3947413080671,0.0,0.0,11029.973740481642,0.0
74.0,1665.2138869030034,2573.512370668278,0.0,0.0,-908.2984837652746,0.0
75.0,7629.8452036628305,1364.5684691166216,0.0,0.0,6265.276734546209,0.0
76.0,789.1330234843222,215.21809731390604,0.0,0.0,573.9149261704162,0.0
77.0,119.79727006295022,184.55255117805845,0.0,0.0,-64.75528111510823,0.0
78.0,81.75988445995694,39.48630783577466,0.0,0.0,42.273576624182276,0.0
79.0,8.751329502416109,0.4861849723564505,0.0,0.0,8.265144530059658,0.0
80.0,18.53927834539669,10.797601673692578,0.0,0.0,7.741676671704111,0.0
