strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
16.0,523997.694242,6011569.469400001,6700862.442152999,-13715126.373135,-0.07259676371650621,-5487571.775158001
16.5,69956.404947,728301.0976559999,704943.443479,-1385717.2523039998,-0.0721269542845834,-658344.692709
17.0,1551247.140311,14081176.586432999,13199071.219004,-33472751.629823,-0.12388479642967208,-12529929.446121998
17.5,285925.466684,2020664.6911439998,1733749.605742,-4217515.136472,-0.13361163585209002,-1734739.2244599997
18.0,4440132.837063,12122510.256471999,23991282.311007,-34331062.625717,-0.07560479949737763,-7682377.419408999
18.5,3990033.398241,1409829.3553300002,16787747.916291,-3749950.7391499993,0.34667155557762996,2580204.0429109996
19.0,20763838.860709995,7363070.7199059995,77480659.675507,-25395769.630528,0.2581139211330186,13400768.140803996
19.5,6515013.4291659985,753348.2764279998,18852301.581167996,-2528153.983597,0.34654842176223327,5761665.152737998
20.0,58182354.23498299,7141475.8868309995,167207667.55750197,-34398186.53193999,0.2710348728700491,51040878.34815199
20.5,3468109.4576809993,231785.02928900003,7175192.596285999,-1176819.3506629998,0.22624174298999575,3236324.428391999
21.0,7445024.523991999,2996005.4786859998,18172294.175816,-19543163.598321,-0.014567397776895573,4449019.045305999
