strike,call_gex,put_gex,call_dex,put_dex,net_gex
15.5,194642.27250000002,701798.3325,904157.8095,-1437028.3725,-507156.06
16.0,482713.1925,2482473.2685,1624975.3860000002,-7303757.097,-1999760.076
16.5,157144.185,1934360.9145,420502.929,-5434747.1895,-1777216.7295
17.0,840449.406,3397774.3860000004,2585894.8665,-11508998.6235,-2557324.9800000004
17.5,625386.0585,2118478.7535,1239434.4075000002,-8179286.1645,-1493092.695
18.0,1942470.489,4432370.2515,4820231.5635,-22759428.984000005,-2489899.7625
18.5,1108438.116,1068847.983,1793680.2179999999,-6811792.890000001,39590.132999999914
19.0,1775534.8890000002,715579.437,3445172.682,-10485505.0455,1059955.452
19.5,807135.4095000001,348445.96200000006,1214682.9945,-3040526.8515,458689.4475
20.0,2639546.1135,719795.631,6183357.0465,-6900696.798,1919750.4825
20.5,735549.2864999999,83023.70850000001,1289911.0245000003,-1030108.5795,652525.578
