strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
8.5,51473.92700000001,3218055.8600000003,88161.3025,-1964429.1745000002,-0.3549554471544715,-3166581.933
9.0,2452240.405,5086385.008000001,1693849.9795000001,-12636537.271000002,-0.6119912033327992,-2634144.6030000015
9.5,872877.067,0.0,317663.4645,-1485025.0,-0.26573219565217393,872877.067
10.0,1455752.1490000002,0.0,1096176.5040000002,-4787415.000000001,-0.2574549523746087,1455752.1490000002
10.5,108427.45300000001,12874.355,55867.213500000005,-374410.042,-0.21519529032258067,95553.09800000001
