strike,call_gex,put_gex,call_dex,put_dex,net_gex
15.5,28469.736,262209.564,286993.422,-475152.3,-233739.828
16.0,233659.233,1322601.5610000002,1995970.9949999996,-3412213.1999999997,-1088942.3280000002
16.5,29157.479999999996,1038104.793,181086.219,-2343575.4390000002,-1008947.313
17.0,249033.177,2139612.7770000002,1493516.691,-5455146.006,-1890579.6000000003
17.5,421382.898,1477714.698,1601089.5239999997,-3557058.534,-1056331.8
18.0,1197102.6090000002,4243912.407,4735522.206,-12126252.059999999,-3046809.7979999995
18.5,980083.5570000001,1945824.7859999998,2059872.084,-5683485.9690000005,-965741.2289999997
19.0,2014701.2729999998,2387428.074,4528908.864,-9598626.297,-372726.8010000002
19.5,780766.7490000001,607387.203,1436485.878,-3097538.082,173379.5460000001
20.0,2609229.096,767447.082,7302093.264,-5222993.004000001,1841782.014
20.5,773928.711,54415.95300000001,1229539.4100000001,-1073469.879,719512.758
