strike,gamma,oi,underlying,GEX
103.0,0.001,1391,180.495,25106.8545
104.0,0.001,1018,180.495,18374.391
105.0,0.001,4832,180.495,87215.184
106.0,0.001,910,180.495,16425.045000000002
107.0,0.001,845,180.495,15251.827500000001
108.0,0.0,4491,180.495,0.0
109.0,0.001,1736,180.495,31333.932
110.0,0.001,21869,180.495,394724.51550000004
111.0,0.001,549,180.495,9909.175500000001
112.0,0.001,4933,180.495,89038.1835
113.0,0.001,899,180.495,16226.500500000002
114.0,0.001,808,180.495,14583.996000000003
115.0,0.0,6733,180.495,0.0
116.0,0.001,1377,180.495,24854.1615
117.0,0.001,3302,180.495,59599.449
118.0,0.001,1613,180.495,29113.843500000003
119.0,0.001,2134,180.495,38517.632999999994
120.0,0.0,16645,180.495,0.0
121.0,0.001,2954,180.495,53318.223000000005
122.0,0.001,634,180.495,11443.383
123.0,0.002,1096,180.495,39564.504
124.0,0.002,1143,180.495,41261.157
125.0,0.002,26335,180.495,950667.165
126.0,0.002,3540,180.495,127790.46
127.0,0.002,1381,180.495,49852.719
128.0,0.001,847,180.495,15287.926500000001
129.0,0.002,1509,180.495,54473.391
130.0,0.002,14129,180.495,510042.77099999995
132.0,0.003,2559,180.495,138566.01150000002
134.0,0.003,3360,180.495,181938.96
135.0,0.003,13522,180.495,732196.0170000001
136.0,0.003,5537,180.495,299820.24450000003
138.0,0.003,7085,180.495,383642.1225
140.0,0.0,14539,180.495,0.0
142.0,0.003,3002,180.495,162553.79700000002
144.0,0.003,2292,180.495,124108.36200000001
145.0,0.004,12244,180.495,883992.312
146.0,0.006,7332,180.495,794033.6040000002
148.0,0.004,2629,180.495,189808.542
150.0,0.005,30983,180.495,2796138.2925
152.0,0.009,4559,180.495,740589.0345
152.5,0.006,32,180.495,3465.504
154.0,0.009,1851,180.495,300686.62049999996
155.0,0.0,17808,180.495,0.0
156.0,0.012,3275,180.495,709345.3500000001
157.5,0.0,85,180.495,0.0
158.0,0.0,1667,180.495,0.0
160.0,0.01,20636,180.495,3724694.8200000003
162.0,0.015,3256,180.495,881537.5800000001
162.5,0.016,508,180.495,146706.33599999998
164.0,0.02,4166,180.495,1503884.34
165.0,0.0,25199,180.495,0.0
166.0,0.014,1938,180.495,489719.03400000004
167.0,0.032,2589,180.495,1495364.9759999998
167.5,0.034,6642,180.495,4076082.486
168.0,0.038,5474,180.495,3754512.594
169.0,0.048,2505,180.495,2170271.88
170.0,0.06,25435,180.495,27545341.95
171.0,0.074,6116,180.495,8168914.908000001
172.0,0.088,6568,180.495,10432322.207999999
172.5,0.094,6323,180.495,10727936.919
173.0,0.1,8854,180.495,15981027.300000003
174.0,0.108,9501,180.495,18520736.345999997
175.0,0.108,41147,180.495,80209739.862
176.0,0.097,13110,180.495,22953007.665
177.0,0.079,15604,180.495,22249907.442
177.5,0.068,14794,180.495,18157652.604000002
178.0,0.058,12132,180.495,12700638.972000001
179.0,0.039,18990,180.495,13367640.195
180.0,0.026,122670,180.495,57567436.29
181.0,0.018,22859,180.495,7426683.369
182.0,0.015,15184,180.495,4110954.12
182.5,0.012,16618,180.495,3599359.0919999997
183.0,0.011,18134,180.495,3600405.9629999995
184.0,0.01,20234,180.495,3652135.83
185.0,0.007,72247,180.495,9128155.5855
186.0,0.006,42825,180.495,4637819.025
187.0,0.005,24282,180.495,2191389.795
187.5,0.005,10498,180.495,947418.255
188.0,0.005,11757,180.495,1061039.8575
189.0,0.004,15473,180.495,1117119.654
190.0,0.002,63159,180.495,2279976.741
191.0,0.002,25682,180.495,927094.5180000002
192.0,0.002,10303,180.495,371927.9970000001
192.5,0.002,8656,180.495,312472.944
193.0,0.002,8207,180.495,296264.493
194.0,0.002,13330,180.495,481199.67
195.0,0.002,49527,180.495,1787875.173
197.5,0.001,9947,180.495,179538.3765
200.0,0.0,96403,180.495,0.0
202.5,0.0,6818,180.495,0.0
205.0,0.0,79632,180.495,0.0
207.5,0.0,5413,180.495,0.0
210.0,0.0,43967,180.495,0.0
212.0,0.0,10398,180.495,0.0
213.0,0.0,5638,180.495,0.0
214.0,0.0,4134,180.495,0.0
215.0,0.0,28418,180.495,0.0
216.0,0.0,4370,180.495,0.0
217.0,0.0,3262,180.495,0.0
218.0,0.0,4670,180.495,0.0
219.0,0.0,1871,180.495,0.0
220.0,0.0,60272,180.495,0.0
221.0,0.0,1932,180.495,0.0
222.0,0.0,2676,180.495,0.0
223.0,0.0,6163,180.495,0.0
224.0,0.0,3047,180.495,0.0
225.0,0.0,25404,180.495,0.0
226.0,0.0,6285,180.495,0.0
227.0,0.0,5965,180.495,0.0
228.0,0.0,10919,180.495,0.0
230.0,0.0,38644,180.495,0.0
235.0,0.0,83585,180.495,0.0
240.0,0.0,20796,180.495,0.0
245.0,0.0,10959,180.495,0.0
250.0,0.0,27126,180.495,0.0
255.0,0.0,15501,180.495,0.0
260.0,0.0,28705,180.495,0.0
265.0,0.0,3192,180.495,0.0
270.0,0.0,13338,180.495,0.0
275.0,0.0,5649,180.495,0.0
280.0,0.0,27346,180.495,0.0
290.0,0.0,5283,180.495,0.0
300.0,0.0,28433,180.495,0.0
310.0,0.0,3002,180.495,0.0
320.0,0.0,8884,180.495,0.0
330.0,0.0,8287,180.495,0.0
340.0,0.0,5408,180.495,0.0
350.0,0.0,10925,180.495,0.0
360.0,0.0,17073,180.495,0.0
370.0,0.0,14538,180.495,0.0
380.0,0.0,2094,180.495,0.0
390.0,0.0,2438,180.495,0.0
400.0,0.0,4251,180.495,0.0
410.0,0.0,830,180.495,0.0
420.0,0.0,2044,180.495,0.0
