strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
7.5,154573.63900000005,1285643.2740000002,1204195.6230000001,-727944.2790000001,0.07639419518040208,-1131069.6350000002
8.0,18172283.608,3828351.2620000006,27093001.93,-3481259.538,0.4777543437736166,14343932.345999999
8.5,9260271.488,124971.02500000002,7985924.265000001,-178848.4,0.4152993730407524,9135300.463
9.0,6392583.806000001,57715.129,6124046.768000001,-154182.211,0.2896740998791784,6334868.677000001
9.5,1667542.6250000002,1149.384,870951.536,-6246.995000000001,0.1115550594282043,1666393.2410000002
