strike,put_gex,put_dex,net_greek_delta,call_gex,call_dex,net_gex
5875.0,0.0,-179398.947294,-0.0010346613545816734,0.0,0.0,0.0
5900.0,0.0,-718079.34429,-0.0011799091940976165,0.0,0.0,0.0
5925.0,0.0,-316383.20316,-0.001159493670886076,0.0,0.0,0.0
5950.0,0.0,-409225.78504799993,-0.001522879177377892,0.0,0.0,0.0
5975.0,0.0,-367225.56943199993,-0.0015498542274052477,0.0,0.0,0.0
6000.0,0.0,-7555686.814854001,-0.0018084821428571427,0.0,0.0,0.0
6025.0,0.0,-190037.15980199998,-0.0017193749999999998,0.0,0.0,0.0
6050.0,0.0,-424561.390092,-0.0019146417445482867,0.0,0.0,0.0
6075.0,0.0,-353755.105542,-0.0020484,0.0,0.0,0.0
6100.0,0.0,-4988976.269741999,-0.0018109578736208627,0.0,0.0,0.0
6125.0,0.0,-545864.6444039999,-0.002423926380368098,0.0,0.0,0.0
6150.0,0.0,-839658.9158099999,-0.00275,0.0,0.0,0.0
6175.0,0.0,-1348842.4508519997,-0.002914328358208955,0.0,0.0,0.0
6200.0,0.0,12709831.695678,0.010938703923900119,0.0,0.0,0.0
6225.0,0.0,-1512560.396592,-0.0032199999999999998,0.0,0.0,0.0
6250.0,0.0,-7446610.596996,-0.0033834902699309477,0.0,0.0,0.0
6275.0,0.0,-2571960.572064,-0.0051002739726027395,0.0,0.0,0.0
6290.0,0.0,-83516.876118,-0.0039,0.0,0.0,0.0
6300.0,0.0,-8392444.399980001,-0.004268798313422348,0.0,0.0,0.0
6310.0,0.0,-8703.992052,-0.0042,0.0,0.0,0.0
6320.0,0.0,554430.477852,0.016720833333333334,0.0,0.0,0.0
6325.0,0.0,-1813400.756802,-0.0046793226381461675,0.0,0.0,0.0
6330.0,0.0,-83171.47960800001,-0.0043,0.0,0.0,0.0
6340.0,0.0,-31362.003108,-0.005044444444444445,0.0,0.0,0.0
6350.0,0.0,-1320036.3819179998,-0.0018409441233140655,0.0,0.0,0.0
6360.0,0.0,-703434.532266,-0.008415702479338845,0.0,0.0,0.0
6370.0,1726.98255,-200260.896498,-0.007835135135135136,0.0,0.0,-1726.98255
6375.0,224853.12801000001,-19821062.281464,-0.00798363939899833,0.0,0.0,-224853.12801000001
6380.0,2555.934174,-388571.07375,-0.007401315789473684,0.0,0.0,-2555.934174
6390.0,1726.98255,-293241.63699,-0.007718181818181818,0.0,0.0,-1726.98255
6400.0,128971.056834,-18389048.351003997,-0.008389599747872675,0.0,0.0,-128971.056834
6410.0,207.237906,-63622.037142,-0.007674999999999999,0.0,0.0,-207.237906
6420.0,3453.9651,-407844.199008,-0.011139622641509434,0.0,0.0,-3453.9651
6425.0,22588.931754,-5356063.68057,-0.008790816326530611,0.0,0.0,-22588.931754
6430.0,2003.299758,-672763.3221779999,-0.008253389830508474,0.0,0.0,-2003.299758
6435.0,5457.2648580000005,-403837.599492,-0.0074,0.0,0.0,-5457.2648580000005
6440.0,33019.906356,-1215864.7945019996,-0.0036668750000000004,0.0,0.0,-33019.906356
6445.0,3868.4409119999996,-297869.95022400003,-0.0077,0.0,0.0,-3868.4409119999996
6450.0,92013.630264,1896641.3157120007,0.0020383073496659247,0.0,0.0,-92013.630264
6455.0,2141.4583620000003,-175599.58568400002,-0.0082,0.0,0.0,-2141.4583620000003
6460.0,20032.997580000003,-932294.2597919999,-0.004621917808219179,0.0,0.0,-20032.997580000003
6465.0,2003.299758,-172283.77918800001,-0.0086,0.0,0.0,-2003.299758
6470.0,27217.244988000002,-2907409.6625759997,-0.010682233502538071,0.0,0.0,-27217.244988000002
6475.0,45661.418622,-5303356.173144,-0.011614523449319214,0.0,0.0,-45661.418622
6480.0,35161.364718,-3606146.8023059997,-0.010255992141453832,0.0,0.0,-35161.364718
6485.0,2417.7755700000002,-230932.10658599995,-0.009832352941176471,0.0,0.0,-2417.7755700000002
6490.0,251103.26277000003,-22735103.557031997,-0.016605247225025228,0.0,0.0,-251103.26277000003
