strike,call_gex,put_gex,call_dex,put_dex,net_gex
11.0,19482.012,138310.362,166424.27399999998,-127364.616,-118828.34999999999
11.5,2225.6639999999998,29490.048,13570.092,-40773.618,-27264.384
12.0,90243.72,727100.334,402629.076,-548516.88,-636856.6140000001
12.5,179863.956,869970.078,496859.616,-649905.066,-690106.122
13.0,1355700.132,1186399.386,2713514.148,-3410594.1,169300.74600000004
13.5,1499660.352,16436.628,1693199.9700000002,-1015688.97,1483223.724
14.0,1836847.206,0.0,1800938.5019999999,-691794.0,1836847.206
