strike,call_gex,put_gex,call_dex,put_dex,net_gex
23.0,953072.3303999999,8705116.37928,12966276.68862,-26717757.522600003,-7752044.0488800015
23.5,60888.1032,956043.1229999999,1225231.10982,-1326351.1060799998,-895155.0197999999
24.0,752769.9256199999,11899906.74132,7363393.393259999,-35805751.22957999,-11147136.815699998
24.5,252598.87061999994,1736068.09896,1623172.72212,-3227242.9849199997,-1483469.2283400001
25.0,2589450.61998,23260814.431259997,18424747.915379997,-74890587.08945999,-20671363.811279997
25.5,364487.3327999999,3063239.45928,1168483.71312,-5744592.7314,-2698752.12648
26.0,3721827.37242,20807830.98144,18463628.49216,-73482549.70296,-17086003.609020002
26.5,2592760.5561599997,2381737.00782,5180068.52484,-6226271.2597199995,211023.54833999975
27.0,12133045.6059,9633086.826720001,36949714.07316,-48267634.657079995,2499958.7791799996
27.5,4416501.214079999,997649.99352,6079448.37978,-4512129.18756,3418851.2205599993
28.0,11533392.4341,3343776.92544,32721361.3044,-22594339.45812,8189615.50866
28.5,1363809.38304,162925.62743999995,1942582.8779999996,-1193903.7075,1200883.7556
29.0,6796963.1472,1219286.8956,19036223.79012,-11552965.488,5577676.251599999
29.5,714472.99128,24186.983999999997,1078492.3585199998,-239537.89926,690286.00728
30.0,14553668.448539998,1234172.4068399998,49377280.9026,-15714446.504039997,13319496.041699998
