strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
16.5,159.1974,8960.700776000001,1677.9443999999999,-8264.187839999999,-0.05018550724637681,-8801.503376000002
17.0,2360.0007219999998,1236761.123047,6345580.966402001,-883352.2450590001,0.26891705245473213,-1234401.1223250001
17.5,7437.160744000001,110359.140544,49879.708159999995,-79414.82920800001,-0.03005658914728682,-102921.9798
18.0,3231227.8897679998,3002495.921027,11568427.292368,-1813987.328831,0.3443972012052226,228731.9687409997
18.5,443713.144203,489406.713361,946557.24237,-389068.818404,0.2034973629424011,-45693.569158
19.0,14015480.601496,14785741.161180004,18474294.806894004,-15153779.360159999,0.049441140512240016,-770260.5596840046
19.5,10883778.663517,1392542.559407,7490652.166398,-2450755.701873,0.1665047481472177,9491236.10411
20.0,20336789.261596,640626.523857,14707697.066136,-2235847.2524490003,0.1386752296096109,19696162.737739
20.5,581237.5866159999,16407.92526,364668.047192,-88373.49693400001,0.06952372315035799,564829.6613559999
21.0,7709437.955008,4177.171068,6180364.270653,-29667.768259,0.0897713064475839,7705260.78394
21.5,37108.966521,2192.6256,29541.296440000002,-16344.266399999999,0.027880321285140567,34916.340921
