strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
8.0,278442.15,2167377.78462,1407307.4622,-1818868.3583999998,-0.036558862653807776,-1888935.6346200001
8.5,21023.084280000003,1486343.8514399999,66846.70668,-1090678.02426,-0.22045687222893992,-1465320.7671599998
9.0,1141217.84832,7849988.9713200005,2175556.02834,-7132961.593560001,-0.30607991909852644,-6708771.123000001
9.5,549977.9987400001,144847.01034,514201.69224,-332355.10182000004,0.10698953744493395,405130.98840000003
10.0,2027753.3194800003,0.0,1953850.5611400001,-4431675.9,-0.19128750000000003,2027753.3194800003
10.5,143308.32498,4315.61934,80890.48638,-362245.28166000004,-0.22534632683658168,138992.70564
