strike,call_gex,put_gex,call_dex,put_dex,net_gex
11.0,30020.59104,284341.27936000004,191317.64384000003,-242114.82848,-254320.68832000004
11.5,8011.962240000002,226871.19296000001,29179.322560000004,-158228.16512000002,-218859.23072000002
12.0,205274.48704,2107676.2176000006,461239.13344000006,-1450574.59936,-1902401.7305600005
12.5,1654196.41696,4476155.619840001,1304938.0828800001,-4651232.79968,-2821959.2028800007
13.0,3457971.86304,541936.1945600001,1884207.4329600001,-5386826.260480001,2916035.66848
13.5,1101500.44832,11750.38016,693554.9264000001,-1047379.2576,1089750.06816
14.0,1095022.92992,77203.80576000002,736648.7798400001,-1076870.9446400001,1017819.12416
