strike,call_gex,put_gex,net_gex,abs_net_gex,GSI,pressure_zone
549.78,148239.504,588356.6219999999,-440117.1179999999,440117.1179999999,0.2012493668748945,False
550.0,2450801.934,7134523.577999999,-4683721.643999999,4683721.643999999,0.2556827027868598,True
554.78,236536.524,618576.588,-382040.064,382040.064,0.2766143106457243,False
555.0,0.0,0.0,0.0,0.0,0.0,False
559.78,1339005.6539999999,964800.3959999998,374205.25800000003,374205.25800000003,0.5812145748987854,False
560.0,109687.284,6286312.557,-6176625.273,6176625.273,0.017149356899116282,True
564.78,691701.444,1092955.4370000002,-401253.99300000013,401253.99300000013,0.38758231420507994,False
565.0,0.0,0.0,0.0,0.0,0.0,False
569.78,590968.2239999999,1237899.348,-646931.1240000001,646931.1240000001,0.3231334149326805,False
570.0,137046.924,7875596.736,-7738549.812,7738549.812,0.01710383361787987,True
574.78,988677.8999999999,3512231.604,-2523553.704,2523553.704,0.21966180371352784,True
575.0,0.0,0.0,0.0,0.0,0.0,False
579.78,767313.5399999999,1352125.845,-584812.305,584812.305,0.3620360862549509,False
580.0,592087.482,13621058.954999998,-13028971.472999997,13028971.472999997,0.041657734592719306,True
584.78,909956.754,4597165.692,-3687208.938,3687208.938,0.16523270781112392,True
585.0,0.0,0.0,0.0,0.0,0.0,False
587.0,0.0,0.0,0.0,0.0,0.0,False
588.0,0.0,0.0,0.0,0.0,0.0,False
589.0,0.0,0.0,0.0,0.0,0.0,False
589.78,1445956.974,2524983.8669999996,-1079026.8929999997,1079026.8929999997,0.3641346048448975,False
590.0,1661414.139,17104687.299,-15443273.159999998,15443273.159999998,0.0885327271883843,True
591.0,0.0,0.0,0.0,0.0,0.0,False
592.0,0.0,0.0,0.0,0.0,0.0,False
593.0,0.0,0.0,0.0,0.0,0.0,False
594.0,0.0,0.0,0.0,0.0,0.0,False
594.78,2918029.968,4771956.482999999,-1853926.5149999992,1853926.5149999992,0.3794584017271632,False
595.0,0.0,0.0,0.0,0.0,0.0,False
596.0,0.0,0.0,0.0,0.0,0.0,False
597.0,0.0,0.0,0.0,0.0,0.0,False
598.0,0.0,0.0,0.0,0.0,0.0,False
599.0,0.0,0.0,0.0,0.0,0.0,False
599.78,2458014.9299999997,2375936.01,82078.91999999993,82078.91999999993,0.508489837921276,False
600.0,20365521.119999997,42177994.11,-21812472.990000002,21812472.990000002,0.32562162592088123,True
601.0,0.0,0.0,0.0,0.0,0.0,False
602.0,0.0,0.0,0.0,0.0,0.0,False
603.0,0.0,0.0,0.0,0.0,0.0,False
604.0,0.0,0.0,0.0,0.0,0.0,False
604.78,9107340.165,11282120.639999999,-2174780.4749999996,2174780.4749999996,0.44666900474222715,True
605.0,0.0,0.0,0.0,0.0,0.0,False
606.0,0.0,0.0,0.0,0.0,0.0,False
607.0,0.0,0.0,0.0,0.0,0.0,False
608.0,0.0,0.0,0.0,0.0,0.0,False
609.0,0.0,0.0,0.0,0.0,0.0,False
609.78,2319164.7569999998,3430774.4939999995,-1111609.7369999997,1111609.7369999997,0.403337262493106,False
610.0,11060694.098999998,20277348.462,-9216654.363000004,9216654.363000004,0.35294782938245683,True
611.0,0.0,0.0,0.0,0.0,0.0,False
612.0,0.0,0.0,0.0,0.0,0.0,False
613.0,0.0,0.0,0.0,0.0,0.0,False
614.0,0.0,0.0,0.0,0.0,0.0,False
615.0,12160489.445999999,16122911.489999996,-3962422.043999998,3962422.043999998,0.42995145716446526,True
616.0,0.0,0.0,0.0,0.0,0.0,False
617.0,0.0,0.0,0.0,0.0,0.0,False
618.0,0.0,0.0,0.0,0.0,0.0,False
619.0,0.0,0.0,0.0,0.0,0.0,False
620.0,27078084.432,11176661.664,15901422.768,15901422.768,0.7078359470494916,True
621.0,0.0,0.0,0.0,0.0,0.0,False
622.0,0.0,0.0,0.0,0.0,0.0,False
623.0,0.0,0.0,0.0,0.0,0.0,False
624.0,0.0,0.0,0.0,0.0,0.0,False
625.0,28813183.056,17682784.055999998,11130399.000000004,11130399.000000004,0.6196920904257026,True
626.0,0.0,0.0,0.0,0.0,0.0,False
627.0,0.0,0.0,0.0,0.0,0.0,False
628.0,0.0,0.0,0.0,0.0,0.0,False
629.0,0.0,0.0,0.0,0.0,0.0,False
630.0,31989885.984,12071819.34,19918066.644,19918066.644,0.7260246908005036,True
631.0,0.0,0.0,0.0,0.0,0.0,False
632.0,0.0,0.0,0.0,0.0,0.0,False
633.0,0.0,0.0,0.0,0.0,0.0,False
634.0,0.0,0.0,0.0,0.0,0.0,False
635.0,19329585.66,6444127.935,12885457.725000001,12885457.725000001,0.7499728585387038,True
636.0,0.0,0.0,0.0,0.0,0.0,False
637.0,0.0,0.0,0.0,0.0,0.0,False
638.0,0.0,0.0,0.0,0.0,0.0,False
639.0,0.0,0.0,0.0,0.0,0.0,False
640.0,27563220.593999997,6023038.202999999,21540182.391,21540182.391,0.8206695708681315,True
641.0,0.0,0.0,0.0,0.0,0.0,False
642.0,0.0,0.0,0.0,0.0,0.0,False
643.0,0.0,0.0,0.0,0.0,0.0,False
644.0,0.0,0.0,0.0,0.0,0.0,False
645.0,4532373.09,250589.42999999996,4281783.66,4281783.66,0.9476079043161727,True
650.0,20041185.024,1230686.352,18810498.672,18810498.672,0.9421448950002338,True
655.0,7429634.604,160178.256,7269456.348,7269456.348,0.9788956251024087,True
660.0,2321341.092,346969.98,1974371.1120000002,1974371.1120000002,0.8699664429530202,True
665.0,1825509.798,29225.069999999996,1796284.728,1796284.728,0.9842429931607884,False
670.0,2004839.8019999997,11192.579999999998,1993647.2219999996,1993647.2219999996,0.9944482141755597,True
675.0,1532886.012,10943.855999999998,1521942.1560000002,1521942.1560000002,0.9929112292572903,False
680.0,917294.112,10446.408,906847.7039999999,906847.7039999999,0.988739946380697,False
685.0,360276.71400000004,7648.263,352628.45100000006,352628.45100000006,0.979212438735846,False
690.0,501676.3079999999,0.0,501676.3079999999,501676.3079999999,1.0,False
695.0,0.0,0.0,0.0,0.0,0.0,False
700.0,0.0,186.54299999999998,-186.54299999999998,186.54299999999998,0.0,False
705.0,0.0,0.0,0.0,0.0,0.0,False
710.0,0.0,0.0,0.0,0.0,0.0,False
715.0,0.0,0.0,0.0,0.0,0.0,False
720.0,0.0,0.0,0.0,0.0,0.0,False
725.0,0.0,0.0,0.0,0.0,0.0,False
730.0,0.0,0.0,0.0,0.0,0.0,False
735.0,0.0,0.0,0.0,0.0,0.0,False
740.0,0.0,0.0,0.0,0.0,0.0,False
745.0,0.0,0.0,0.0,0.0,0.0,False
750.0,0.0,373.08599999999996,-373.08599999999996,373.08599999999996,0.0,False
755.0,0.0,0.0,0.0,0.0,0.0,False
760.0,0.0,0.0,0.0,0.0,0.0,False
765.0,0.0,0.0,0.0,0.0,0.0,False
770.0,0.0,0.0,0.0,0.0,0.0,False
775.0,0.0,0.0,0.0,0.0,0.0,False
780.0,0.0,0.0,0.0,0.0,0.0,False
785.0,0.0,0.0,0.0,0.0,0.0,False
790.0,0.0,0.0,0.0,0.0,0.0,False
