strike,call_gex,put_gex,call_dex,put_dex,net_gex
32.0,2434.0800000000004,74350.08000000002,56057.600000000006,-488586.2400000001,-71916.00000000001
33.0,8187.36,71823.80000000002,159764.16,-453716.2,-63636.44000000002
34.0,6785.92,46623.696,115699.93600000002,-346347.45600000006,-39837.776000000005
35.0,16632.88,36304.672,258823.84000000005,-281755.82399999996,-19671.791999999998
36.0,24938.256000000005,17171.328,352698.19200000004,-145240.81600000005,7766.9280000000035
37.0,57171.376,12789.984000000002,681085.0880000001,-114608.288,44381.39199999999
38.0,40007.424000000006,10532.928,415910.512,-104709.696,29474.496000000006
39.0,51115.68,7634.16,524787.6480000002,-90116.28000000001,43481.520000000004
40.0,105299.776,7106.776000000001,1038304.768,-89515.136,98193.0
41.0,42817.68,7136.28,350153.472,-100542.256,35681.4
42.0,178174.65600000002,2695.928,1295815.6800000002,-41880.928,175478.728
